Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,24.70,24.90,24.60,24.90,3092270.00,
2017-03-02,25.50,25.50,25.25,25.25,3288310.00,
2017-03-01,24.90,25.50,24.90,25.25,5081910.00,
2017-02-28,25.00,25.25,24.90,24.90,4433400.00,
2017-02-27,24.70,25.00,24.30,25.00,3990090.00,
2017-02-24,24.50,24.70,24.30,24.70,6511700.00,
2017-02-23,24.40,24.90,24.30,24.60,9777370.00,
2017-02-22,24.30,24.40,24.20,24.40,8287800.00,
2017-02-21,24.90,24.90,24.40,24.50,2368500.00,
2017-02-20,24.90,24.90,24.70,24.80,5286800.00,
2017-02-17,24.80,25.00,24.70,25.00,2456040.00,
2017-02-16,24.70,24.80,24.50,24.80,2184310.00,
2017-02-15,24.80,24.80,24.20,24.70,6463800.00,
2017-02-14,25.00,25.25,24.50,24.70,5358810.00,
2017-02-10,24.70,25.25,24.70,25.00,7824500.00,
2017-02-09,25.00,25.00,24.60,24.70,3424810.00,
2017-02-08,25.00,25.25,24.80,25.00,2861290.00,
2017-02-07,25.00,25.00,24.80,25.00,1945900.00,
2017-02-06,24.70,25.25,24.50,25.00,6466940.00,
2017-02-03,24.60,24.80,24.40,24.70,3242310.00,
2017-02-02,24.90,24.90,24.60,24.70,3910170.00,
2017-02-01,24.20,24.90,24.10,24.90,12716050.00,
2017-01-31,24.10,24.50,24.00,24.20,9664500.00,
2017-01-30,24.30,24.40,24.20,24.20,7413900.00,
2017-01-27,25.00,25.00,24.10,24.50,8807100.00,
2017-01-26,25.25,25.50,25.00,25.00,4116410.00,
2017-01-25,25.75,26.00,24.90,25.00,10728970.00,
2017-01-24,25.50,26.00,25.25,25.75,4340670.00,
2017-01-23,25.50,26.00,25.25,25.50,4245910.00,
2017-01-20,25.25,25.50,25.00,25.50,4901960.00,
2017-01-19,25.00,26.00,25.00,25.00,11278520.00,
2017-01-18,25.50,26.00,25.00,25.00,10176510.00,
2017-01-17,25.00,25.75,25.00,25.75,8121200.00,
2017-01-16,25.50,25.50,24.80,24.90,4197530.00,
2017-01-13,25.75,25.75,25.25,25.50,3727900.00,
2017-01-12,26.00,26.25,25.50,25.75,4728560.00,
2017-01-11,25.75,26.50,25.50,26.00,8519700.00,
2017-01-10,24.50,26.00,24.50,25.75,11484300.00,
2017-01-09,25.00,25.25,24.60,24.70,3706020.00,
2017-01-06,25.00,25.25,24.90,25.00,3581430.00,
2017-01-05,25.25,25.25,25.00,25.25,4025300.00,
2017-01-04,25.00,25.25,25.00,25.25,3179260.00,
2016-12-30,24.90,25.25,24.70,25.00,9285190.00,
2016-12-29,24.60,24.90,24.40,24.80,4203800.00,
2016-12-28,24.50,24.90,24.50,24.70,4379270.00,
2016-12-27,24.00,24.70,23.90,24.50,7343320.00,
2016-12-26,23.90,24.00,23.80,24.00,609080.00,
2016-12-23,23.90,24.00,23.60,23.70,7740620.00,
2016-12-22,23.50,24.10,23.40,24.00,7151540.00,
2016-12-21,23.40,23.50,23.10,23.40,2400800.00,
2016-12-20,23.30,23.60,23.30,23.40,2004500.00,
2016-12-19,23.70,23.70,23.40,23.40,990800.00,
2016-12-16,23.50,23.80,23.50,23.70,1593770.00,
2016-12-15,23.20,23.50,23.20,23.50,2624170.00,
2016-12-14,23.10,23.40,23.10,23.30,3398450.00,
2016-12-13,22.80,23.30,22.80,23.10,3038520.00,
2016-12-09,23.00,23.30,22.90,22.90,2839310.00,
2016-12-08,23.10,23.20,22.90,23.00,2130300.00,
2016-12-07,22.70,23.30,22.70,23.10,2586710.00,
2016-12-06,22.70,22.80,22.50,22.70,2302840.00,
2016-12-02,23.10,23.10,22.70,22.80,4137300.00,
2016-12-01,23.00,23.00,22.60,22.80,4098960.00,
2016-11-30,22.90,23.00,22.70,22.80,3179910.00,
2016-11-29,23.10,23.10,22.80,22.90,1558600.00,
2016-11-28,23.10,23.10,22.80,23.00,2056490.00,
2016-11-25,23.00,23.20,22.80,23.20,981320.00,
2016-11-24,23.20,23.30,22.90,23.00,1114010.00,
2016-11-23,23.00,23.40,22.80,23.20,4370100.00,
2016-11-22,22.40,22.90,22.20,22.80,3836230.00,
2016-11-21,22.60,22.80,22.10,22.20,3241210.00,
2016-11-18,22.70,22.90,22.70,22.70,1626900.00,
2016-11-17,22.80,22.90,22.70,22.70,2765050.00,
2016-11-16,23.20,23.30,22.90,22.90,1709680.00,
2016-11-15,23.20,23.60,22.80,23.20,6123790.00,
2016-11-14,23.90,23.90,23.30,23.50,4097400.00,
2016-11-11,24.10,24.10,23.50,23.90,5016700.00,
2016-11-10,24.00,24.20,23.80,24.10,6004110.00,
2016-11-09,23.90,24.20,23.80,24.10,3714830.00,
2016-11-08,24.10,24.40,23.90,24.20,2806610.00,
2016-11-07,24.20,24.40,23.90,24.20,8074290.00,
2016-11-04,24.30,24.40,24.00,24.20,8028100.00,
2016-11-03,24.20,24.60,24.20,24.40,6004900.00,
2016-11-02,24.70,24.70,24.20,24.40,8397620.00,
2016-11-01,24.50,25.00,24.40,24.80,5629550.00,
2016-10-31,24.10,24.40,24.00,24.40,3089220.00,
2016-10-28,24.60,24.70,24.10,24.30,1945200.00,
2016-10-27,24.30,24.70,24.10,24.50,4800300.00,
2016-10-26,24.60,24.80,24.30,24.40,3412550.00,
2016-10-25,24.00,24.80,23.80,24.70,6579510.00,
2016-10-21,23.60,24.10,23.60,23.80,5394070.00,
2016-10-20,23.60,23.90,23.50,23.70,3546000.00,
2016-10-19,23.70,23.80,23.50,23.60,1600100.00,
2016-10-18,23.50,23.80,23.30,23.60,4192510.00,
2016-10-17,23.10,23.60,23.10,23.40,2289180.00,
2016-10-14,23.20,23.50,22.60,23.50,5643730.00,
2016-10-13,22.10,22.20,21.10,22.00,12203920.00,
2016-10-12,22.70,22.80,21.90,22.30,12822240.00,
2016-10-11,23.40,23.70,22.50,23.00,5906660.00,
2016-10-10,22.70,23.60,22.60,23.50,6569830.00,
2016-10-07,24.00,24.30,24.00,24.20,3011010.00,
2016-10-06,24.50,24.60,24.10,24.10,3554240.00,
2016-10-05,24.20,24.50,24.10,24.30,2721250.00,
2016-10-04,24.50,24.50,24.00,24.20,3452310.00,
2016-10-03,24.40,24.50,24.00,24.40,6076550.00,
2016-09-30,23.40,24.30,23.30,24.30,15316800.00,
2016-09-29,23.50,23.50,23.30,23.40,2674200.00,
2016-09-28,23.70,23.70,23.30,23.50,4815280.00,
2016-09-27,22.90,23.80,22.90,23.50,4909150.00,
2016-09-26,22.60,23.10,22.50,22.80,4503440.00,
2016-09-23,22.90,22.90,22.40,22.60,6371410.00,
2016-09-22,22.80,22.90,22.60,22.80,3551200.00,
2016-09-21,22.60,23.20,22.50,22.60,6863810.00,
2016-09-20,22.60,23.10,22.50,22.60,9122200.00,
2016-09-19,22.50,22.70,22.40,22.50,3284360.00,
2016-09-16,22.60,22.70,21.90,22.50,17207180.00,
2016-09-15,22.30,22.90,22.20,22.80,5729750.00,
2016-09-14,22.00,22.40,22.00,22.20,6264100.00,
2016-09-13,21.70,22.20,21.60,22.20,12179630.00,
2016-09-12,21.90,22.00,21.30,21.30,10815350.00,
2016-09-09,22.60,22.60,22.00,22.30,9521520.00,
