Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,22.20,22.30,21.90,22.10,4649300.00,
2017-03-02,22.30,22.50,22.10,22.20,3165820.00,
2017-03-01,22.50,22.50,22.20,22.30,4540840.00,
2017-02-28,22.60,22.60,22.40,22.50,2212140.00,
2017-02-27,22.50,22.60,22.10,22.50,2609330.00,
2017-02-24,22.20,22.60,22.10,22.60,4915720.00,
2017-02-23,22.20,22.20,22.00,22.20,1209700.00,
2017-02-22,22.10,22.30,22.00,22.30,866200.00,
2017-02-21,22.10,22.30,22.00,22.20,1626500.00,
2017-02-20,22.10,22.20,22.00,22.10,416700.00,
2017-02-17,22.20,22.40,22.10,22.20,846400.00,
2017-02-16,22.20,22.30,22.10,22.30,633320.00,
2017-02-15,22.10,22.30,21.90,22.10,1259160.00,
2017-02-14,22.40,22.50,21.80,22.00,2904740.00,
2017-02-10,22.30,22.50,22.20,22.50,2707540.00,
2017-02-09,22.20,22.40,22.10,22.20,2238320.00,
2017-02-08,22.00,22.30,22.00,22.20,1928660.00,
2017-02-07,22.00,22.10,21.90,22.10,3389620.00,
2017-02-06,22.00,22.20,21.90,22.00,4095300.00,
2017-02-03,21.40,22.00,21.30,21.90,5979710.00,
2017-02-02,21.30,21.50,21.30,21.30,1780310.00,
2017-02-01,21.30,21.40,21.20,21.30,807400.00,
2017-01-31,21.20,21.30,21.20,21.20,689600.00,
2017-01-30,21.30,21.40,21.20,21.20,613630.00,
2017-01-27,21.20,21.30,21.10,21.20,1159020.00,
2017-01-26,21.20,21.30,21.10,21.10,1081550.00,
2017-01-25,21.10,21.30,21.00,21.10,1875300.00,
2017-01-24,21.20,21.30,21.00,21.10,1534500.00,
2017-01-23,21.20,21.20,21.10,21.20,295700.00,
2017-01-20,21.00,21.20,20.90,21.20,1487200.00,
2017-01-19,21.00,21.10,20.90,21.00,935800.00,
2017-01-18,21.00,21.20,20.90,20.90,1014540.00,
2017-01-17,21.10,21.20,20.90,21.00,1735740.00,
2017-01-16,21.10,21.30,21.00,21.10,2322240.00,
2017-01-13,21.40,21.40,21.10,21.10,1956800.00,
2017-01-12,21.50,21.50,21.30,21.40,521350.00,
2017-01-11,21.40,21.50,21.40,21.40,1915250.00,
2017-01-10,21.10,21.50,21.00,21.30,2703200.00,
2017-01-09,21.30,21.30,21.20,21.20,893600.00,
2017-01-06,21.50,21.50,21.10,21.20,2430700.00,
2017-01-05,21.30,21.70,21.30,21.50,1652660.00,
2017-01-04,21.40,21.60,21.20,21.30,854100.00,
2016-12-30,21.40,21.60,21.30,21.40,383000.00,
2016-12-29,21.30,21.40,21.20,21.40,332930.00,
2016-12-28,21.60,21.60,21.30,21.30,814680.00,
2016-12-27,21.60,21.60,21.50,21.60,87880.00,
2016-12-26,21.60,21.60,21.50,21.60,305480.00,
2016-12-23,21.50,21.60,21.40,21.60,191180.00,
2016-12-22,21.60,21.60,21.40,21.50,184800.00,
2016-12-21,21.50,21.60,21.40,21.50,402500.00,
2016-12-20,21.60,21.60,21.30,21.60,695810.00,
2016-12-19,21.40,21.60,21.40,21.50,201600.00,
2016-12-16,21.70,21.70,21.40,21.40,711100.00,
2016-12-15,21.50,21.80,21.50,21.70,1005800.00,
2016-12-14,21.60,21.60,21.30,21.60,597450.00,
2016-12-13,21.60,21.70,21.40,21.60,807770.00,
2016-12-09,21.60,21.70,21.40,21.50,852800.00,
2016-12-08,21.50,21.60,21.40,21.60,937160.00,
2016-12-07,21.40,21.60,21.30,21.40,989500.00,
