Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,26.75,26.75,25.75,26.25,14519500.00,
2017-02-08,25.75,26.50,25.25,26.50,10431470.00,
2017-02-07,26.00,26.00,25.50,25.50,4645930.00,
2017-02-06,26.00,26.25,25.75,26.00,7750330.00,
2017-02-03,25.75,26.25,25.50,26.00,12840310.00,
2017-02-02,25.25,25.75,24.90,25.25,10777440.00,
2017-02-01,24.60,25.25,24.60,25.00,17313660.00,
2017-01-31,24.70,24.90,24.50,24.60,9559780.00,
2017-01-30,24.60,25.25,24.60,24.70,14617220.00,
2017-01-27,25.00,25.00,24.50,24.60,11944790.00,
2017-01-26,25.00,25.25,24.80,25.00,17224660.00,
2017-01-25,25.75,25.75,24.90,24.90,12564120.00,
2017-01-24,25.75,26.00,25.25,25.50,6373630.00,
2017-01-23,25.25,26.00,25.25,25.75,7534020.00,
2017-01-20,25.25,25.50,25.00,25.25,4580310.00,
2017-01-19,26.25,26.25,25.00,25.25,14184760.00,
2017-01-18,25.75,26.50,25.75,26.25,9101110.00,
2017-01-17,25.50,26.25,25.25,25.50,9234860.00,
2017-01-16,26.25,26.25,25.25,25.50,9068040.00,
2017-01-13,26.25,26.50,25.75,26.25,3480790.00,
2017-01-12,26.50,26.75,26.00,26.00,6267300.00,
2017-01-11,27.00,27.25,26.50,26.50,17700820.00,
2017-01-10,27.00,27.25,26.50,26.75,6621120.00,
2017-01-09,27.25,27.50,27.00,27.00,1942800.00,
2017-01-06,27.50,27.75,27.25,27.25,5215880.00,
2017-01-05,28.25,28.50,26.75,27.50,15413600.00,
2017-01-04,27.50,28.50,27.50,28.25,9467920.00,
2016-12-30,27.50,28.00,27.50,27.75,3181320.00,
2016-12-29,27.75,27.75,27.00,27.75,3992100.00,
2016-12-28,27.25,27.75,27.25,27.75,1553170.00,
2016-12-27,27.50,27.75,27.25,27.50,1129730.00,
2016-12-26,27.75,27.75,27.25,27.25,374160.00,
2016-12-23,27.25,27.50,26.50,27.50,3513340.00,
2016-12-22,27.50,27.50,27.00,27.00,1679620.00,
2016-12-21,27.75,27.75,27.25,27.50,1765600.00,
2016-12-20,28.00,28.00,27.50,27.50,4977900.00,
