Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,9.65,9.85,9.65,9.75,3917060.00,
2017-02-08,9.70,9.80,9.60,9.65,8172840.00,
2017-02-07,9.95,10.00,9.70,9.70,12977160.00,
2017-02-06,9.95,10.10,9.95,9.95,7108180.00,
2017-02-03,9.90,10.00,9.85,9.95,8776300.00,
2017-02-02,10.10,10.10,9.90,9.90,7153710.00,
2017-02-01,10.00,10.10,9.85,10.10,11001390.00,
2017-01-31,10.20,10.20,10.00,10.00,3279630.00,
2017-01-30,10.30,10.30,10.10,10.10,4524870.00,
2017-01-27,10.10,10.30,10.10,10.20,3610850.00,
2017-01-26,10.20,10.30,10.00,10.10,6360470.00,
2017-01-25,10.50,10.60,10.10,10.20,19264520.00,
2017-01-24,10.50,10.80,10.40,10.50,20308810.00,
2017-01-23,10.50,10.60,10.30,10.40,8814120.00,
2017-01-20,10.50,10.70,10.50,10.50,9915300.00,
2017-01-19,10.40,10.60,10.30,10.60,10387100.00,
2017-01-18,11.10,11.10,10.50,10.50,18980810.00,
2017-01-17,11.00,11.20,10.90,11.00,6222550.00,
2017-01-16,11.00,11.10,10.90,10.90,5354700.00,
2017-01-13,11.00,11.10,10.90,11.10,3914700.00,
2017-01-12,11.30,11.30,11.00,11.00,7840200.00,
2017-01-11,10.90,11.40,10.90,11.30,23195590.00,
2017-01-10,10.80,11.00,10.80,10.90,4143750.00,
2017-01-09,11.30,11.30,10.80,10.90,9910320.00,
2017-01-06,11.20,11.30,11.10,11.20,7062520.00,
2017-01-05,11.40,11.40,11.20,11.20,11467360.00,
2017-01-04,11.20,11.50,11.10,11.30,18704320.00,
2016-12-30,11.20,11.30,11.00,11.10,4867100.00,
2016-12-29,11.10,11.30,11.00,11.20,9260740.00,
2016-12-28,11.20,11.30,11.00,11.10,5729760.00,
2016-12-27,11.30,11.50,11.20,11.20,9912730.00,
2016-12-26,11.20,11.50,11.10,11.30,13339010.00,
2016-12-23,11.00,11.10,10.90,11.10,7221170.00,
2016-12-22,10.90,11.20,10.80,11.00,13034750.00,
2016-12-21,10.80,11.00,10.70,10.90,10365600.00,
2016-12-20,11.20,11.30,10.70,10.80,19204240.00,
2016-12-19,11.30,11.50,11.20,11.20,12706750.00,
2016-12-16,11.50,11.60,11.20,11.30,24770310.00,
2016-12-15,11.30,11.90,11.30,11.50,66509820.00,
2016-12-14,10.80,11.50,10.80,11.40,72642560.00,
2016-12-13,10.70,10.90,10.60,10.70,10530690.00,
2016-12-09,10.60,10.90,10.60,10.70,20788080.00,
2016-12-08,10.70,10.80,10.60,10.60,12274540.00,
2016-12-07,10.50,10.80,10.50,10.60,14238330.00,
2016-12-06,10.50,10.70,10.30,10.50,14928870.00,
2016-12-02,10.50,10.50,10.30,10.40,15596340.00,
2016-12-01,10.80,11.00,10.30,10.40,40163940.00,
2016-11-30,10.50,10.80,10.40,10.60,29279440.00,
2016-11-29,10.90,10.90,10.40,10.50,40170120.00,
2016-11-28,9.90,10.80,9.85,10.80,64113260.00,
2016-11-25,9.75,9.95,9.70,9.85,14186370.00,
2016-11-24,9.90,9.95,9.70,9.75,11651110.00,
2016-11-23,10.00,10.10,9.85,9.90,8261560.00,
2016-11-22,10.00,10.10,9.90,10.00,12164320.00,
2016-11-21,10.00,10.20,9.90,9.90,12101200.00,
2016-11-18,9.95,10.00,9.80,9.90,13894400.00,
2016-11-17,10.10,10.40,9.90,9.95,28305280.00,
2016-11-16,9.85,10.10,9.75,10.00,40936100.00,
2016-11-15,9.95,10.00,9.60,9.70,29507170.00,
2016-11-14,10.10,10.20,9.85,9.85,38970780.00,
2016-11-11,10.90,11.00,10.30,10.30,79483460.00,
2016-11-10,10.80,11.60,10.70,11.30,126464980.00,
2016-11-09,10.40,10.90,10.20,10.70,62011560.00,
2016-11-08,10.90,10.90,10.50,10.60,52402140.00,
2016-11-07,10.40,11.20,10.30,10.90,116662910.00,
2016-11-04,9.60,10.30,9.60,10.20,70534620.00,
2016-11-03,9.20,9.85,9.20,9.70,47811850.00,
2016-11-02,9.25,9.25,9.15,9.20,3229960.00,
2016-11-01,9.20,9.40,9.15,9.25,8676340.00,
2016-10-31,9.15,9.20,9.05,9.15,4275010.00,
2016-10-28,9.05,9.30,9.05,9.10,5325880.00,
2016-10-27,9.10,9.30,9.00,9.10,6489210.00,
2016-10-26,9.35,9.40,9.00,9.00,7591580.00,
2016-10-25,9.55,9.60,9.35,9.35,11191800.00,
2016-10-21,9.00,9.45,8.90,9.45,23520480.00,
2016-10-20,9.15,9.15,8.80,8.95,8615280.00,
2016-10-19,9.05,9.15,9.00,9.05,6522610.00,
2016-10-18,8.70,9.15,8.60,9.00,12614850.00,
2016-10-17,8.40,8.70,8.25,8.70,5433040.00,
2016-10-14,8.10,8.45,8.00,8.45,10328060.00,
2016-10-13,7.80,7.90,7.35,7.70,20096890.00,
2016-10-12,8.50,8.50,7.00,7.70,20472980.00,
2016-10-11,8.75,8.80,8.35,8.55,7172040.00,
2016-10-10,8.65,8.85,8.50,8.60,9544470.00,
2016-10-07,9.35,9.40,9.20,9.20,7906910.00,
2016-10-06,8.90,9.45,8.85,9.40,13360770.00,
2016-10-05,9.05,9.05,8.85,8.95,4534810.00,
2016-10-04,8.75,9.05,8.75,9.05,11858170.00,
2016-10-03,8.60,8.80,8.60,8.70,4709940.00,
2016-09-30,8.60,8.65,8.40,8.45,1954070.00,
2016-09-29,8.65,8.70,8.60,8.60,1404430.00,
2016-09-28,8.70,8.70,8.60,8.60,2243490.00,
2016-09-27,8.70,8.70,8.60,8.65,1180080.00,
2016-09-26,8.65,8.70,8.60,8.70,1740810.00,
2016-09-23,8.75,8.75,8.55,8.65,4755610.00,
2016-09-22,8.70,8.80,8.65,8.75,5313620.00,
2016-09-21,8.50,8.75,8.50,8.60,3634320.00,
2016-09-20,8.55,8.55,8.35,8.45,2975280.00,
2016-09-19,8.40,8.70,8.40,8.55,6252720.00,
2016-09-16,8.45,8.50,8.35,8.35,3038510.00,
2016-09-15,8.20,8.45,8.15,8.35,4789840.00,
2016-09-14,8.30,8.30,8.10,8.15,4363050.00,
2016-09-13,8.15,8.35,8.05,8.30,7933650.00,
2016-09-12,8.20,8.20,7.90,8.00,10174860.00,
2016-09-09,8.50,8.55,8.25,8.30,13752440.00,
