Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,1.38,1.39,1.36,1.37,45126430.00,
2017-03-02,1.35,1.38,1.34,1.38,85213020.00,
2017-03-01,1.34,1.36,1.33,1.34,48212180.00,
2017-02-28,1.36,1.39,1.33,1.33,120704030.00,
2017-02-27,1.35,1.36,1.34,1.34,18596100.00,
2017-02-24,1.35,1.36,1.34,1.35,13529800.00,
2017-02-23,1.38,1.39,1.34,1.35,47830290.00,
2017-02-22,1.39,1.40,1.37,1.38,20136380.00,
2017-02-21,1.39,1.40,1.39,1.39,25250250.00,
2017-02-20,1.40,1.41,1.39,1.39,11947100.00,
2017-02-17,1.40,1.41,1.39,1.41,14893800.00,
2017-02-16,1.40,1.41,1.39,1.39,19905420.00,
2017-02-15,1.40,1.41,1.39,1.40,42944700.00,
2017-02-14,1.42,1.44,1.40,1.40,54068090.00,
2017-02-10,1.42,1.44,1.41,1.42,61186420.00,
2017-02-09,1.41,1.43,1.41,1.41,93636510.00,
2017-02-08,1.43,1.43,1.41,1.41,26916200.00,
2017-02-07,1.41,1.43,1.41,1.42,35039300.00,
2017-02-06,1.43,1.44,1.41,1.41,42259240.00,
2017-02-03,1.41,1.43,1.40,1.43,46943220.00,
2017-02-02,1.44,1.45,1.40,1.40,124792140.00,
2017-02-01,1.45,1.46,1.43,1.43,60017780.00,
2017-01-31,1.47,1.47,1.45,1.45,54380800.00,
2017-01-30,1.48,1.48,1.46,1.47,34659250.00,
2017-01-27,1.48,1.49,1.46,1.48,43177100.00,
2017-01-26,1.50,1.51,1.48,1.48,66133170.00,
2017-01-25,1.45,1.50,1.45,1.49,189776640.00,
2017-01-24,1.48,1.48,1.43,1.45,209140680.00,
2017-01-23,1.48,1.49,1.47,1.48,41754220.00,
2017-01-20,1.49,1.50,1.47,1.48,92030810.00,
2017-01-19,1.51,1.51,1.49,1.49,74897310.00,
2017-01-18,1.49,1.51,1.48,1.50,108875370.00,
2017-01-17,1.48,1.50,1.47,1.48,81806190.00,
2017-01-16,1.49,1.50,1.47,1.48,102538000.00,
2017-01-13,1.49,1.52,1.49,1.49,78262400.00,
2017-01-12,1.50,1.51,1.49,1.49,91989140.00,
2017-01-11,1.51,1.51,1.49,1.49,107647130.00,
2017-01-10,1.52,1.53,1.49,1.51,175315500.00,
2017-01-09,1.53,1.54,1.51,1.51,73267310.00,
2017-01-06,1.53,1.54,1.52,1.53,68958830.00,
2017-01-05,1.53,1.56,1.52,1.53,159802220.00,
2017-01-04,1.54,1.55,1.52,1.53,101507720.00,
2016-12-30,1.53,1.55,1.52,1.52,67494100.00,
2016-12-29,1.53,1.56,1.52,1.53,140878000.00,
2016-12-28,1.51,1.54,1.50,1.52,76611320.00,
2016-12-27,1.53,1.53,1.50,1.50,43009950.00,
2016-12-26,1.52,1.53,1.50,1.51,56072950.00,
2016-12-23,1.51,1.53,1.50,1.53,33764240.00,
2016-12-22,1.53,1.54,1.50,1.51,53431000.00,
2016-12-21,1.53,1.54,1.52,1.53,35978200.00,
2016-12-20,1.57,1.57,1.52,1.53,96519090.00,
2016-12-19,1.58,1.59,1.56,1.56,88952850.00,
2016-12-16,1.61,1.61,1.56,1.56,169138080.00,
2016-12-15,1.53,1.59,1.52,1.59,239498450.00,
2016-12-14,1.52,1.54,1.51,1.52,39065500.00,
2016-12-13,1.55,1.56,1.52,1.52,101978770.00,
2016-12-09,1.54,1.56,1.53,1.55,68085900.00,
2016-12-08,1.52,1.55,1.52,1.53,108661410.00,
2016-12-07,1.50,1.52,1.49,1.51,123336310.00,
2016-12-06,1.50,1.51,1.47,1.49,65752770.00,
2016-12-02,1.57,1.57,1.49,1.50,219823450.00,
2016-12-01,1.58,1.60,1.53,1.56,141032330.00,
2016-11-30,1.58,1.58,1.57,1.57,43391670.00,
2016-11-29,1.58,1.59,1.56,1.57,100936180.00,
2016-11-28,1.58,1.61,1.57,1.57,131711140.00,
2016-11-25,1.59,1.60,1.57,1.58,77016210.00,
2016-11-24,1.58,1.62,1.56,1.58,131093310.00,
2016-11-23,1.59,1.60,1.57,1.57,112510850.00,
2016-11-22,1.60,1.62,1.59,1.59,53009400.00,
2016-11-21,1.61,1.62,1.59,1.59,38329970.00,
2016-11-18,1.61,1.62,1.59,1.60,66507850.00,
2016-11-17,1.62,1.64,1.61,1.61,114484220.00,
2016-11-16,1.66,1.67,1.61,1.62,255604360.00,
2016-11-15,1.60,1.64,1.59,1.64,229080730.00,
2016-11-14,1.62,1.63,1.59,1.60,286952860.00,
2016-11-11,1.63,1.64,1.59,1.59,224292700.00,
2016-11-10,1.55,1.61,1.53,1.61,309514940.00,
2016-11-09,1.58,1.59,1.51,1.53,368108170.00,
2016-11-08,1.60,1.62,1.58,1.58,204870750.00,
2016-11-07,1.61,1.63,1.59,1.60,128696260.00,
2016-11-04,1.60,1.61,1.58,1.60,84058900.00,
2016-11-03,1.63,1.65,1.59,1.60,228894900.00,
2016-11-02,1.59,1.63,1.58,1.62,227889590.00,
2016-11-01,1.60,1.62,1.57,1.58,281672530.00,
2016-10-31,1.62,1.64,1.59,1.59,148044920.00,
2016-10-28,1.65,1.65,1.61,1.62,144859100.00,
2016-10-27,1.62,1.67,1.62,1.64,436316320.00,
2016-10-26,1.63,1.65,1.60,1.62,382586600.00,
2016-10-25,1.72,1.72,1.60,1.60,665759030.00,
2016-10-21,1.71,1.75,1.70,1.70,427119850.00,
2016-10-20,1.65,1.71,1.64,1.70,502074120.00,
2016-10-19,1.56,1.68,1.54,1.64,645376360.00,
2016-10-18,1.53,1.59,1.53,1.55,457842700.00,
2016-10-17,1.39,1.53,1.37,1.53,558772340.00,
2016-10-14,1.29,1.44,1.24,1.40,766688220.00,
2016-10-13,1.12,1.20,1.05,1.17,873132530.00,
2016-10-12,1.26,1.28,1.00,1.15,665150120.00,
2016-10-11,1.35,1.36,1.26,1.28,238503720.00,
