Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,26.75,27.00,26.00,26.25,13603910.00,
2017-03-02,26.75,27.00,26.25,27.00,14374300.00,
2017-03-01,26.00,26.75,25.50,26.75,19728510.00,
2017-02-28,25.75,26.00,25.25,26.00,9049640.00,
2017-02-27,25.75,26.50,25.75,26.00,15772480.00,
2017-02-24,26.25,26.75,25.50,26.00,31589520.00,
2017-02-23,26.00,26.50,25.75,26.50,36193600.00,
2017-02-22,24.50,26.00,24.30,26.00,52606660.00,
2017-02-21,24.90,24.90,24.30,24.30,12711130.00,
2017-02-20,25.00,25.25,24.70,24.80,12131260.00,
2017-02-17,24.60,25.25,24.50,25.00,31068280.00,
2017-02-16,24.30,24.80,24.20,24.50,14083670.00,
2017-02-15,24.50,24.70,24.10,24.20,12590090.00,
2017-02-14,24.90,25.25,24.20,24.40,19736320.00,
2017-02-10,25.25,25.25,24.90,24.90,8144100.00,
2017-02-09,25.25,25.50,24.90,25.00,24898180.00,
2017-02-08,24.90,25.25,24.70,25.25,30988920.00,
2017-02-07,25.00,25.25,24.70,24.80,46224770.00,
2017-02-06,23.40,25.00,23.40,24.90,84154700.00,
2017-02-03,23.00,23.30,22.90,23.20,11676400.00,
2017-02-02,22.70,23.20,22.70,22.90,20607650.00,
2017-02-01,23.10,23.20,22.50,22.60,20581260.00,
2017-01-31,23.20,23.30,23.00,23.10,9157240.00,
2017-01-30,23.30,23.60,23.10,23.20,17177930.00,
2017-01-27,23.10,23.30,23.00,23.20,8029010.00,
2017-01-26,23.40,23.40,23.00,23.00,11290500.00,
2017-01-25,23.20,23.60,23.20,23.30,18137120.00,
2017-01-24,23.30,23.40,23.00,23.10,15891360.00,
2017-01-23,23.30,23.40,23.10,23.10,11302740.00,
2017-01-20,22.80,23.40,22.80,23.30,22164780.00,
2017-01-19,23.00,23.00,22.50,22.70,20912710.00,
2017-01-18,23.40,23.70,22.90,23.00,30822720.00,
2017-01-17,23.60,23.80,23.20,23.20,23666200.00,
2017-01-16,23.10,24.00,23.00,23.50,49910980.00,
2017-01-13,23.20,23.80,22.90,23.20,48475800.00,
2017-01-12,23.90,24.10,22.90,23.20,80141270.00,
2017-01-11,22.10,23.60,22.00,23.40,102349430.00,
2017-01-10,21.40,22.30,21.40,21.80,49968020.00,
2017-01-09,21.60,21.60,21.00,21.40,42153910.00,
2017-01-06,20.70,21.80,20.20,21.70,49638770.00,
2017-01-05,19.40,20.70,19.20,20.70,66408930.00,
2017-01-04,19.00,19.40,18.70,19.20,14583090.00,
2016-12-30,19.30,19.50,18.80,19.00,19360460.00,
2016-12-29,18.80,19.60,18.80,19.10,27407900.00,
2016-12-28,17.60,19.10,17.60,18.80,62226140.00,
2016-12-27,17.30,17.60,17.20,17.50,6791800.00,
2016-12-26,17.10,17.40,17.10,17.30,2224920.00,
2016-12-23,17.00,17.40,16.90,17.20,4067100.00,
2016-12-22,17.30,17.30,17.00,17.00,2550700.00,
2016-12-21,17.30,17.40,17.20,17.20,1396800.00,
2016-12-20,17.60,17.60,17.20,17.30,5064210.00,
2016-12-19,17.70,17.70,17.40,17.50,2397330.00,
2016-12-16,17.60,17.90,17.50,17.70,4641970.00,
2016-12-15,17.60,17.80,17.50,17.60,2156600.00,
2016-12-14,17.70,17.80,17.60,17.60,2445020.00,
2016-12-13,17.90,17.90,17.60,17.70,3189210.00,
2016-12-09,17.90,18.00,17.70,17.80,3252460.00,
2016-12-08,18.00,18.20,17.70,17.80,7314400.00,
2016-12-07,17.80,17.90,17.70,17.80,2424330.00,
2016-12-06,17.40,18.00,17.40,18.00,7217220.00,
2016-12-02,17.70,17.80,17.40,17.40,4068410.00,
2016-12-01,18.10,18.10,17.60,17.80,9095810.00,
2016-11-30,18.10,18.20,17.90,18.10,2956040.00,
2016-11-29,18.40,18.40,18.00,18.00,4253120.00,
2016-11-28,17.80,18.40,17.80,18.30,14058410.00,
2016-11-25,17.40,17.70,17.20,17.70,4751030.00,
2016-11-24,17.50,17.70,17.30,17.30,4552840.00,
2016-11-23,17.00,17.60,17.00,17.40,13358240.00,
2016-11-22,17.00,17.10,16.80,16.80,4000960.00,
2016-11-21,16.90,17.30,16.90,16.90,4297820.00,
2016-11-18,16.80,17.00,16.70,16.80,3613430.00,
2016-11-17,17.00,17.20,16.80,16.80,3205740.00,
2016-11-16,17.30,17.50,17.00,17.00,5472910.00,
2016-11-15,17.30,17.60,17.20,17.20,5120070.00,
2016-11-14,17.50,17.60,17.20,17.20,6200300.00,
2016-11-11,18.10,18.10,17.60,17.70,8820900.00,
2016-11-10,18.20,18.30,18.00,18.00,5813150.00,
2016-11-09,17.80,18.20,17.80,18.10,10182850.00,
2016-11-08,18.50,18.60,18.20,18.20,13081520.00,
2016-11-07,19.10,19.10,18.70,18.70,7334780.00,
2016-11-04,18.70,19.20,18.70,18.70,23699810.00,
2016-11-03,18.20,18.80,18.10,18.60,22900210.00,
2016-11-02,18.20,18.40,18.00,18.10,5111670.00,
2016-11-01,18.20,18.50,18.10,18.30,9040320.00,
2016-10-31,18.10,18.30,18.10,18.10,2620930.00,
2016-10-28,18.20,18.50,18.00,18.10,5843680.00,
2016-10-27,18.50,18.70,18.20,18.30,6632510.00,
2016-10-26,18.50,19.00,18.40,18.50,14844350.00,
2016-10-25,18.70,18.70,18.40,18.40,6029660.00,
2016-10-21,18.30,18.60,18.30,18.60,10640910.00,
2016-10-20,18.50,18.60,18.30,18.30,6860810.00,
2016-10-19,18.10,18.60,18.00,18.40,9826210.00,
2016-10-18,18.20,18.30,18.00,18.00,7369170.00,
2016-10-17,17.70,18.70,17.60,18.20,23454710.00,
2016-10-14,16.70,18.20,16.50,17.90,40216480.00,
2016-10-13,16.60,16.60,15.20,16.00,24752750.00,
2016-10-12,17.70,17.80,15.10,16.60,25922520.00,
2016-10-11,18.40,18.40,17.80,17.90,10001240.00,
2016-10-10,18.30,18.60,18.10,18.20,14083480.00,
2016-10-07,19.20,19.40,19.00,19.10,12271310.00,
2016-10-06,19.30,19.30,19.00,19.10,8437610.00,
2016-10-05,18.80,19.50,18.80,19.30,24858900.00,
2016-10-04,18.70,18.90,18.50,18.70,15419560.00,
2016-10-03,19.30,19.30,18.60,18.60,12170380.00,
