Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,48.75,49.50,48.50,49.00,6698880.00,
2017-02-08,48.75,49.00,48.25,48.75,2209640.00,
2017-02-07,48.50,49.25,48.00,49.00,5842200.00,
2017-02-06,48.00,48.50,47.75,48.50,4836370.00,
2017-02-03,47.75,48.00,47.50,48.00,2291150.00,
2017-02-02,47.75,47.75,47.25,47.75,2163300.00,
2017-02-01,47.50,47.75,47.25,47.75,2729720.00,
2017-01-31,47.75,47.75,47.25,47.50,1982610.00,
2017-01-30,47.50,48.00,47.00,48.00,3350640.00,
2017-01-27,47.50,47.75,47.00,47.50,5344570.00,
2017-01-26,47.50,48.00,47.00,47.75,6388960.00,
2017-01-25,47.25,48.00,47.00,47.50,5988680.00,
2017-01-24,47.50,47.75,46.75,47.00,2549210.00,
2017-01-23,46.25,48.00,46.00,47.75,11054640.00,
2017-01-20,45.25,47.25,44.75,46.00,7306620.00,
2017-01-19,44.75,45.50,44.50,45.25,5890600.00,
2017-01-18,45.25,45.50,44.75,44.75,3809010.00,
2017-01-17,46.00,46.00,45.00,45.25,3093910.00,
2017-01-16,46.50,46.50,46.00,46.00,3725680.00,
2017-01-13,46.25,46.25,45.75,46.00,1604220.00,
2017-01-12,46.00,46.50,45.75,46.25,3981730.00,
2017-01-11,44.75,46.50,44.75,45.75,6701030.00,
2017-01-10,45.00,45.25,44.50,44.50,3658020.00,
2017-01-09,45.75,45.75,45.00,45.00,2893800.00,
2017-01-06,45.25,46.00,45.00,45.50,7005010.00,
2017-01-05,44.75,45.50,44.50,45.25,7462960.00,
2017-01-04,44.00,44.75,43.75,44.75,4612390.00,
2016-12-30,44.25,44.25,43.50,44.00,2932560.00,
2016-12-29,44.00,44.25,43.75,44.00,1836010.00,
2016-12-28,43.25,44.00,43.25,44.00,3226680.00,
2016-12-27,43.25,43.75,43.25,43.25,1870100.00,
2016-12-26,43.25,43.75,43.25,43.50,1267970.00,
2016-12-23,43.25,43.75,43.25,43.50,1535060.00,
2016-12-22,43.75,43.75,43.25,43.50,1326200.00,
2016-12-21,43.50,43.75,43.25,43.75,1592490.00,
2016-12-20,43.75,44.00,43.25,43.50,1015900.00,
2016-12-19,44.25,44.50,43.25,43.50,3372360.00,
2016-12-16,44.50,44.75,44.00,44.50,3396330.00,
2016-12-15,44.00,44.50,43.50,44.50,2353980.00,
2016-12-14,44.75,44.75,43.50,44.25,2661070.00,
2016-12-13,44.25,44.75,43.75,44.75,3093320.00,
2016-12-09,44.00,44.50,43.75,44.25,3864790.00,
2016-12-08,42.75,44.00,42.75,44.00,3513200.00,
2016-12-07,43.50,43.50,42.50,42.50,3223570.00,
2016-12-06,43.25,43.75,42.75,43.50,2661060.00,
2016-12-02,43.00,43.50,42.75,43.00,2255700.00,
