Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,22.00,22.10,21.80,22.00,3498650.00,
2017-02-08,22.20,22.30,21.70,21.90,7316110.00,
2017-02-07,21.80,22.30,21.80,21.90,12216610.00,
2017-02-06,21.80,22.00,21.80,21.80,4918210.00,
2017-02-03,21.60,22.00,21.50,22.00,6741420.00,
2017-02-02,21.80,21.90,21.50,21.60,5993440.00,
2017-02-01,21.40,22.00,21.30,21.60,14829170.00,
2017-01-31,21.90,22.00,21.50,21.50,15938840.00,
2017-01-30,22.30,22.30,21.80,21.90,17330510.00,
2017-01-27,22.10,22.40,21.60,22.40,55906060.00,
2017-01-26,23.30,23.40,22.70,22.90,12310260.00,
2017-01-25,23.60,23.70,23.10,23.10,16292400.00,
2017-01-24,23.20,23.90,23.20,23.50,45274980.00,
2017-01-23,23.30,23.40,23.10,23.10,11312650.00,
2017-01-20,22.70,23.60,22.50,23.20,41272640.00,
2017-01-19,22.50,22.70,22.40,22.50,9185100.00,
2017-01-18,22.70,23.10,22.50,22.50,18212090.00,
2017-01-17,22.50,22.90,22.50,22.60,9905040.00,
2017-01-16,22.70,22.80,22.30,22.50,12486280.00,
2017-01-13,22.80,22.80,22.40,22.60,7483770.00,
2017-01-12,22.80,23.10,22.70,22.70,12409830.00,
2017-01-11,23.10,23.30,22.60,22.70,17188250.00,
2017-01-10,23.20,23.30,23.00,23.00,5212040.00,
2017-01-09,23.20,23.50,22.90,23.00,16906640.00,
2017-01-06,23.80,23.80,23.00,23.10,27614820.00,
2017-01-05,23.20,24.10,23.10,23.80,46667480.00,
2017-01-04,22.70,23.00,22.60,23.00,13863770.00,
2016-12-30,22.80,23.00,22.40,22.70,13181220.00,
2016-12-29,22.70,23.10,22.70,22.70,13687100.00,
2016-12-28,22.60,22.80,22.50,22.60,5507790.00,
2016-12-27,22.90,23.00,22.60,22.60,13678510.00,
2016-12-26,22.80,23.40,22.30,23.00,23962180.00,
2016-12-23,22.00,23.10,21.80,23.00,21009680.00,
2016-12-22,21.80,22.20,21.70,21.80,10563420.00,
2016-12-21,22.50,22.60,21.60,21.70,24836880.00,
2016-12-20,23.20,23.40,22.30,22.50,20164900.00,
2016-12-19,23.40,23.50,23.20,23.20,5089600.00,
2016-12-16,23.40,23.50,23.20,23.30,4709470.00,
2016-12-15,23.20,23.70,23.10,23.30,12403900.00,
2016-12-14,23.40,23.50,23.00,23.10,15537570.00,
2016-12-13,23.30,23.90,23.10,23.40,20713010.00,
2016-12-09,23.40,23.60,23.20,23.20,11557460.00,
2016-12-08,23.60,23.80,23.20,23.30,15177760.00,
2016-12-07,23.90,23.90,23.40,23.40,12174250.00,
