Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,5.60,5.70,5.55,5.60,10715340.00,
2017-02-08,5.40,5.55,5.40,5.50,5771100.00,
2017-02-07,5.40,5.45,5.25,5.35,3798800.00,
2017-02-06,5.30,5.40,5.30,5.40,3089850.00,
2017-02-03,5.20,5.35,5.20,5.25,2004200.00,
2017-02-02,5.30,5.30,5.20,5.25,2342510.00,
2017-02-01,5.35,5.40,5.25,5.30,3967400.00,
2017-01-31,5.40,5.40,5.30,5.35,2001200.00,
2017-01-30,5.35,5.45,5.30,5.30,3353320.00,
2017-01-27,5.35,5.40,5.20,5.35,3313300.00,
2017-01-26,5.45,5.45,5.35,5.35,2240700.00,
2017-01-25,5.55,5.55,5.40,5.40,2458200.00,
2017-01-24,5.55,5.65,5.45,5.55,5214460.00,
2017-01-23,5.40,5.50,5.40,5.50,2642080.00,
2017-01-20,5.35,5.50,5.30,5.35,5406700.00,
2017-01-19,5.35,5.45,5.30,5.35,8951120.00,
2017-01-18,5.55,5.55,5.30,5.30,2440800.00,
2017-01-17,5.60,5.60,5.50,5.50,1622340.00,
2017-01-16,5.50,5.70,5.50,5.60,3986470.00,
2017-01-13,5.60,5.60,5.45,5.50,2974440.00,
2017-01-12,5.70,5.75,5.60,5.60,3231320.00,
2017-01-11,5.65,5.70,5.55,5.65,5556050.00,
2017-01-10,5.45,5.65,5.45,5.55,9278420.00,
2017-01-09,5.45,5.55,5.40,5.45,7682670.00,
2017-01-06,5.55,5.60,5.40,5.45,7519200.00,
2017-01-05,5.35,5.55,5.25,5.50,14105920.00,
2017-01-04,5.25,5.45,5.20,5.35,8270620.00,
2016-12-30,5.30,5.30,5.20,5.25,4198110.00,
2016-12-29,5.25,5.25,5.20,5.25,2865800.00,
2016-12-28,5.05,5.30,5.05,5.25,4154940.00,
2016-12-27,5.05,5.15,5.00,5.05,1327900.00,
2016-12-26,5.15,5.15,5.00,5.00,4170450.00,
2016-12-23,5.05,5.15,5.00,5.10,3263010.00,
2016-12-22,5.20,5.25,5.05,5.05,2927640.00,
2016-12-21,5.20,5.25,5.10,5.15,4885500.00,
2016-12-20,5.40,5.40,5.15,5.20,7975340.00,
2016-12-19,5.30,5.45,5.25,5.45,26416910.00,
2016-12-16,5.00,5.30,4.98,5.25,16109720.00,
2016-12-15,4.94,5.10,4.94,4.96,6527510.00,
2016-12-14,4.98,5.00,4.92,4.94,3215080.00,
2016-12-13,5.00,5.00,4.94,4.94,4426910.00,
2016-12-09,5.00,5.00,4.94,4.98,5473100.00,
2016-12-08,5.00,5.05,4.96,5.00,3942640.00,
2016-12-07,4.94,5.05,4.94,4.98,7127260.00,
2016-12-06,4.94,4.94,4.90,4.92,1063000.00,
2016-12-02,4.94,4.96,4.88,4.88,2698000.00,
2016-12-01,4.98,4.98,4.92,4.96,4158200.00,
2016-11-30,4.92,4.98,4.90,4.94,3238100.00,
2016-11-29,5.05,5.05,4.92,4.92,3659320.00,
2016-11-28,5.00,5.10,4.98,5.05,6313990.00,
2016-11-25,4.88,5.10,4.88,5.00,7211010.00,
2016-11-24,4.92,4.96,4.86,4.86,4909210.00,
2016-11-23,4.98,5.05,4.90,4.92,6411310.00,
2016-11-22,4.94,5.00,4.94,4.98,4019200.00,
2016-11-21,5.05,5.10,4.82,4.92,15447110.00,
2016-11-18,5.10,5.15,5.05,5.05,3425800.00,
2016-11-17,5.20,5.30,5.05,5.15,5409500.00,
2016-11-16,5.35,5.35,5.15,5.15,4603810.00,
2016-11-15,5.20,5.30,5.10,5.25,8580420.00,
2016-11-14,5.35,5.35,5.00,5.15,5186100.00,
2016-11-11,5.55,5.60,5.35,5.35,11794400.00,
2016-11-10,5.60,5.90,5.55,5.65,15990130.00,
2016-11-09,5.15,5.70,5.10,5.50,21046610.00,
