Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,19.10,19.30,19.10,19.10,1373610.00,
2017-03-02,19.10,19.30,19.10,19.10,3157510.00,
2017-03-01,19.20,19.50,19.10,19.10,4293820.00,
2017-02-28,19.30,19.40,19.20,19.20,1264340.00,
2017-02-27,19.40,19.40,19.20,19.30,1169800.00,
2017-02-24,19.20,19.40,19.10,19.40,2270400.00,
2017-02-23,19.10,19.30,19.10,19.20,1692020.00,
2017-02-22,19.10,19.30,19.00,19.10,4183290.00,
2017-02-21,19.40,19.40,19.10,19.20,2717500.00,
2017-02-20,19.40,19.50,19.10,19.30,4039730.00,
2017-02-17,19.50,19.60,19.30,19.40,4145850.00,
2017-02-16,19.60,19.70,19.40,19.50,2037040.00,
2017-02-15,19.50,19.80,19.30,19.50,4811320.00,
2017-02-14,19.80,20.00,19.50,19.50,4104850.00,
2017-02-10,20.00,20.10,19.80,19.90,3108040.00,
2017-02-09,19.80,20.30,19.80,20.00,7015190.00,
2017-02-08,20.10,20.10,19.40,19.80,7010220.00,
2017-02-07,20.10,20.40,19.90,20.00,7156330.00,
2017-02-06,20.80,20.80,19.90,20.00,11028490.00,
2017-02-03,20.80,21.20,20.50,20.60,13716810.00,
2017-02-02,22.00,22.30,20.70,20.70,42945740.00,
2017-02-01,21.90,22.90,21.90,22.80,19328060.00,
2017-01-31,22.00,22.40,21.70,22.10,13445000.00,
2017-01-30,21.10,22.20,21.00,22.10,27630400.00,
2017-01-27,20.60,20.90,20.50,20.90,2121350.00,
2017-01-26,20.70,20.80,20.40,20.50,3171040.00,
2017-01-25,20.90,21.00,20.60,20.70,6828100.00,
2017-01-24,20.50,21.00,20.50,20.80,9499730.00,
2017-01-23,20.20,20.60,20.10,20.50,3234510.00,
2017-01-20,20.00,20.30,19.90,20.10,2368640.00,
2017-01-19,20.10,20.10,19.80,20.00,3795910.00,
2017-01-18,20.40,20.50,19.90,20.10,3372690.00,
2017-01-17,20.60,20.70,20.20,20.30,2904210.00,
2017-01-16,20.70,20.80,20.40,20.60,2637510.00,
2017-01-13,20.90,21.00,20.50,20.60,2983020.00,
2017-01-12,20.80,21.10,20.70,20.90,7067710.00,
2017-01-11,20.40,21.10,20.20,20.70,11702960.00,
2017-01-10,20.30,20.60,20.20,20.30,4062940.00,
2017-01-09,20.50,20.50,20.20,20.20,3167100.00,
2017-01-06,20.30,20.70,20.20,20.70,5244740.00,
2017-01-05,19.50,20.50,19.40,20.40,12569250.00,
2017-01-04,19.40,19.60,19.40,19.50,1585700.00,
2016-12-30,19.30,19.50,19.20,19.40,1033060.00,
2016-12-29,19.60,19.60,19.30,19.30,1791900.00,
2016-12-28,19.40,19.70,19.40,19.60,1508900.00,
2016-12-27,19.60,19.70,19.40,19.40,553420.00,
2016-12-26,19.70,19.70,19.50,19.60,243400.00,
2016-12-23,19.50,19.60,19.40,19.60,619350.00,
2016-12-22,19.40,19.50,19.30,19.40,569900.00,
2016-12-21,19.50,19.60,19.40,19.40,1162800.00,
2016-12-20,19.80,19.80,19.40,19.40,1371000.00,
2016-12-19,19.90,19.90,19.60,19.70,2167810.00,
2016-12-16,19.70,20.00,19.60,20.00,4298900.00,
2016-12-15,19.70,19.80,19.60,19.70,1786500.00,
2016-12-14,20.00,20.00,19.60,19.70,2245320.00,
2016-12-13,19.90,20.00,19.80,19.90,17547900.00,
2016-12-09,20.10,20.10,19.90,20.00,1604150.00,
2016-12-08,20.10,20.10,19.80,20.00,1328880.00,
2016-12-07,19.90,20.10,19.70,20.00,3384600.00,
2016-12-06,19.60,19.80,19.60,19.80,1510600.00,
2016-12-02,20.00,20.00,19.70,19.70,2160500.00,
2016-12-01,20.10,20.20,19.80,19.80,3921200.00,
2016-11-30,20.00,20.10,19.90,20.10,2082700.00,
2016-11-29,19.90,20.10,19.90,20.00,1787200.00,
2016-11-28,19.80,20.20,19.80,19.90,3972300.00,
2016-11-25,19.90,19.90,19.60,19.70,1059590.00,
2016-11-24,19.40,19.90,19.40,19.80,2727210.00,
2016-11-23,19.60,19.60,19.30,19.40,1046820.00,
2016-11-22,19.30,19.60,19.20,19.50,4660080.00,
2016-11-21,19.10,19.30,19.10,19.20,1283270.00,
2016-11-18,19.20,19.20,19.00,19.10,963700.00,
2016-11-17,19.40,19.40,19.00,19.10,1813900.00,
2016-11-16,19.30,19.40,19.20,19.40,2057070.00,
2016-11-15,19.10,19.40,19.00,19.30,2881450.00,
2016-11-14,19.40,19.50,19.10,19.10,4027080.00,
2016-11-11,19.70,19.70,19.40,19.50,5194650.00,
2016-11-10,20.20,20.30,19.70,19.70,9075260.00,
2016-11-09,20.00,20.30,19.60,19.80,11010140.00,
2016-11-08,20.70,20.70,20.40,20.50,1806340.00,
2016-11-07,20.10,20.60,19.80,20.50,5240320.00,
2016-11-04,20.40,20.40,20.00,20.00,1893590.00,
2016-11-03,20.50,20.60,20.20,20.20,2386810.00,
2016-11-02,20.50,20.70,20.40,20.40,2033240.00,
2016-11-01,20.90,21.00,20.60,20.60,3962360.00,
2016-10-31,20.20,20.80,20.10,20.80,9300750.00,
2016-10-28,19.70,20.30,19.60,19.90,4959130.00,
2016-10-27,19.80,19.90,19.20,19.70,2813760.00,
2016-10-26,19.90,20.10,19.70,19.70,2193380.00,
2016-10-25,20.20,20.30,20.00,20.00,3723800.00,
2016-10-21,19.50,19.90,19.30,19.90,4999210.00,
2016-10-20,19.40,19.60,19.20,19.60,4179020.00,
2016-10-19,19.40,19.80,19.20,19.60,3771290.00,
2016-10-18,18.70,19.70,18.70,19.50,8448350.00,
2016-10-17,17.90,18.70,17.70,18.70,4541730.00,
2016-10-14,17.70,18.30,17.40,18.00,10206760.00,
2016-10-13,16.80,17.00,16.00,17.00,8419660.00,
2016-10-12,18.90,18.90,16.20,17.20,10639820.00,
2016-10-11,19.10,19.20,18.60,18.90,4317550.00,
2016-10-10,18.10,19.40,18.10,19.00,6595020.00,
2016-10-07,20.00,20.30,19.90,19.90,8088740.00,
2016-10-06,20.20,20.30,19.90,19.90,8351460.00,
2016-10-05,20.50,20.50,20.00,20.20,6355440.00,
2016-10-04,20.40,20.60,20.30,20.40,4472970.00,
2016-10-03,20.70,20.90,20.40,20.40,2619300.00,
2016-09-30,20.70,20.90,20.40,20.70,2876650.00,
2016-09-29,20.80,21.00,20.50,20.80,2096400.00,
2016-09-28,20.90,21.00,20.70,20.70,1158250.00,
2016-09-27,20.90,21.20,20.90,20.90,837340.00,
2016-09-26,20.80,21.00,20.80,21.00,473400.00,
2016-09-23,21.20,21.20,20.60,20.90,2041510.00,
2016-09-22,21.10,21.20,21.00,21.20,1206020.00,
2016-09-21,20.90,21.20,20.90,21.00,5563350.00,
2016-09-20,21.00,21.10,20.70,20.90,1178240.00,
2016-09-19,20.90,21.10,20.90,21.00,6341170.00,
2016-09-16,20.70,21.00,20.50,21.00,3915700.00,
2016-09-15,20.30,21.10,20.10,20.70,6217310.00,
2016-09-14,20.00,20.30,20.00,20.30,2111300.00,
2016-09-13,20.00,20.10,19.90,20.10,3455380.00,
2016-09-12,20.00,20.20,19.70,19.70,5657400.00,
2016-09-09,21.00,21.30,20.10,20.50,7692770.00,
