Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,64.00,67.50,64.00,67.50,11018470.00,
2017-02-08,63.00,64.25,62.75,64.00,4850760.00,
2017-02-07,63.25,63.75,62.50,62.50,5252110.00,
2017-02-06,63.50,64.00,62.25,62.75,6136860.00,
2017-02-03,64.25,64.50,63.00,63.50,6970230.00,
2017-02-02,61.75,65.00,61.00,65.00,11185910.00,
2017-02-01,61.25,61.75,61.00,61.75,3322720.00,
2017-01-31,61.50,62.00,61.00,61.00,3724410.00,
2017-01-30,61.50,61.75,60.75,61.50,2140880.00,
2017-01-27,61.25,62.00,60.75,61.50,2972610.00,
2017-01-26,62.25,62.75,60.75,61.25,4982350.00,
2017-01-25,62.25,62.50,61.75,62.00,2827030.00,
2017-01-24,62.75,63.00,61.50,62.00,5917520.00,
2017-01-23,62.50,63.25,62.00,63.00,6471940.00,
2017-01-20,61.00,62.50,60.75,62.25,7871810.00,
2017-01-19,61.75,62.00,59.75,60.50,5534520.00,
2017-01-18,61.75,62.75,61.75,62.00,5819530.00,
2017-01-17,63.00,63.25,61.25,61.50,4075790.00,
2017-01-16,63.50,63.75,62.75,63.00,1494830.00,
2017-01-13,63.25,64.00,63.25,63.75,4373310.00,
2017-01-12,63.25,65.00,62.50,62.75,6016900.00,
2017-01-11,63.25,63.50,62.75,62.75,3614340.00,
2017-01-10,62.75,64.00,62.75,63.00,7790880.00,
2017-01-09,63.00,63.50,62.25,62.25,7800500.00,
2017-01-06,63.25,64.50,63.00,63.00,7359030.00,
2017-01-05,64.75,65.75,62.25,63.00,12545690.00,
2017-01-04,61.00,65.25,61.00,65.00,10259560.00,
2016-12-30,61.50,61.75,60.25,60.25,3502890.00,
2016-12-29,61.50,61.75,60.25,61.50,3572140.00,
2016-12-28,62.25,62.50,61.25,62.25,3092070.00,
2016-12-27,61.00,63.50,60.75,62.50,6697150.00,
2016-12-26,60.75,61.50,60.25,60.75,2271200.00,
2016-12-23,58.50,61.75,58.25,60.50,14356600.00,
2016-12-22,57.00,59.25,56.25,58.00,12908880.00,
2016-12-21,55.00,57.25,55.00,56.75,8569440.00,
2016-12-20,55.25,55.75,54.50,54.75,3518400.00,
2016-12-19,55.00,55.75,54.75,55.50,3601510.00,
