Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,26.50,26.50,25.75,25.75,3502160.00,
2017-02-08,26.50,26.75,26.25,26.25,3038400.00,
2017-02-07,27.25,27.50,26.50,26.50,4755640.00,
2017-02-06,26.50,27.00,26.00,27.00,8280180.00,
2017-02-03,26.25,26.50,25.25,26.25,8741970.00,
2017-02-02,26.75,26.75,26.00,26.25,2971160.00,
2017-02-01,26.75,27.00,26.25,26.50,3343870.00,
2017-01-31,27.25,27.25,26.75,26.75,3084550.00,
2017-01-30,26.50,27.50,26.25,27.25,4654010.00,
2017-01-27,25.75,26.25,25.75,26.25,2574800.00,
2017-01-26,26.75,26.75,25.75,26.00,5218050.00,
2017-01-25,27.25,27.25,26.50,26.50,3240000.00,
2017-01-24,27.25,27.50,27.00,27.00,1923960.00,
2017-01-23,27.00,27.25,26.75,27.25,2572200.00,
2017-01-20,26.50,27.25,26.50,26.75,2967200.00,
2017-01-19,27.25,27.75,26.25,26.75,12007100.00,
2017-01-18,27.50,27.75,27.25,27.50,3880700.00,
2017-01-17,27.75,27.75,27.25,27.25,3571320.00,
2017-01-16,28.00,28.25,27.25,27.50,5314600.00,
2017-01-13,27.50,28.00,27.25,28.00,3125290.00,
2017-01-12,27.75,28.00,27.25,27.50,5976590.00,
2017-01-11,28.25,28.50,27.75,27.75,4406560.00,
2017-01-10,28.00,28.25,27.75,28.00,2556780.00,
2017-01-09,28.50,28.50,27.50,27.75,5102440.00,
2017-01-06,28.75,29.00,28.00,28.50,4916720.00,
2017-01-05,28.50,29.25,28.25,28.50,8395220.00,
2017-01-04,28.50,28.75,28.00,28.25,9049530.00,
2016-12-30,28.00,29.50,28.00,28.00,19558480.00,
2016-12-29,28.50,28.75,27.75,27.75,6768210.00,
2016-12-28,27.50,29.00,27.50,28.25,29723670.00,
2016-12-27,26.75,27.75,26.75,27.25,17523570.00,
2016-12-26,26.00,26.75,25.75,26.50,4449000.00,
2016-12-23,25.75,26.25,25.25,26.00,5013960.00,
2016-12-22,25.75,26.00,25.25,25.25,2913390.00,
2016-12-21,26.00,26.00,25.75,25.75,1927700.00,
2016-12-20,26.75,26.75,26.00,26.00,3155550.00,
2016-12-19,26.50,26.75,26.25,26.50,2599930.00,
2016-12-16,26.00,26.75,26.00,26.50,9808640.00,
2016-12-15,26.25,26.25,26.00,26.00,1880210.00,
2016-12-14,26.25,26.50,26.00,26.25,3514010.00,
2016-12-13,26.25,26.25,25.75,26.00,2696700.00,
2016-12-09,26.00,26.25,25.75,26.25,4181300.00,
2016-12-08,26.50,26.75,25.75,25.75,11252600.00,
2016-12-07,26.50,27.00,26.00,26.50,6417510.00,
2016-12-06,26.50,26.50,25.75,26.25,5855860.00,
2016-12-02,27.25,27.50,26.25,26.25,34192080.00,
2016-12-01,27.50,28.25,27.00,27.00,15632460.00,
2016-11-30,26.75,27.25,26.50,27.00,6637420.00,
2016-11-29,27.25,27.50,26.75,26.75,6197560.00,
2016-11-28,26.50,27.50,26.25,27.00,12573480.00,
2016-11-25,26.00,26.50,26.00,26.50,4033520.00,
2016-11-24,26.25,26.50,26.00,26.00,3026370.00,
