Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.44,2.48,2.44,2.48,127230950.00,
2017-02-08,2.44,2.46,2.42,2.44,115336590.00,
2017-02-07,2.44,2.46,2.42,2.44,131995280.00,
2017-02-06,2.42,2.48,2.42,2.44,301038720.00,
2017-02-03,2.36,2.44,2.36,2.42,267870910.00,
2017-02-02,2.38,2.42,2.36,2.38,202549000.00,
2017-02-01,2.32,2.40,2.32,2.38,281010590.00,
2017-01-31,2.30,2.34,2.28,2.34,127286580.00,
2017-01-30,2.30,2.34,2.28,2.32,68431380.00,
2017-01-27,2.32,2.34,2.30,2.32,121103480.00,
2017-01-26,2.34,2.36,2.30,2.34,265541020.00,
2017-01-25,2.28,2.34,2.26,2.34,478825410.00,
2017-01-24,2.24,2.30,2.24,2.28,192416660.00,
2017-01-23,2.28,2.30,2.24,2.24,88970390.00,
2017-01-20,2.26,2.28,2.24,2.28,113921220.00,
2017-01-19,2.28,2.30,2.24,2.26,252831120.00,
2017-01-18,2.28,2.32,2.26,2.30,474147250.00,
2017-01-17,2.24,2.30,2.22,2.24,222372760.00,
2017-01-16,2.24,2.26,2.18,2.24,307156910.00,
2017-01-13,2.28,2.28,2.24,2.26,92988880.00,
2017-01-12,2.30,2.32,2.26,2.26,103967570.00,
2017-01-11,2.30,2.32,2.26,2.28,239901390.00,
2017-01-10,2.28,2.32,2.26,2.28,319739320.00,
2017-01-09,2.26,2.28,2.24,2.28,186563480.00,
2017-01-06,2.22,2.28,2.20,2.26,380424990.00,
2017-01-05,2.16,2.22,2.16,2.22,333388200.00,
2017-01-04,2.12,2.18,2.12,2.16,296705130.00,
2016-12-30,2.12,2.14,2.10,2.10,49866890.00,
2016-12-29,2.10,2.14,2.08,2.12,100285120.00,
2016-12-28,2.08,2.10,2.08,2.10,18637730.00,
2016-12-27,2.08,2.10,2.06,2.08,36546890.00,
2016-12-26,2.10,2.10,2.06,2.08,32739320.00,
2016-12-23,2.08,2.12,2.06,2.08,103838590.00,
2016-12-22,2.08,2.10,2.06,2.08,60615780.00,
2016-12-21,2.10,2.10,2.08,2.10,37494700.00,
2016-12-20,2.10,2.10,2.08,2.08,65273730.00,
2016-12-19,2.10,2.12,2.10,2.10,76984870.00,
2016-12-16,2.12,2.12,2.10,2.10,39348200.00,
2016-12-15,2.10,2.12,2.08,2.12,69664660.00,
2016-12-14,2.12,2.12,2.08,2.10,56055950.00,
2016-12-13,2.10,2.12,2.08,2.10,99038320.00,
2016-12-09,2.12,2.12,2.08,2.10,116115970.00,
2016-12-08,2.06,2.12,2.04,2.12,306158930.00,
2016-12-07,2.04,2.06,2.02,2.06,187301870.00,
2016-12-06,2.02,2.04,2.00,2.04,104257650.00,
2016-12-02,2.04,2.04,2.00,2.02,66986350.00,
2016-12-01,2.04,2.06,2.02,2.02,133843420.00,
2016-11-30,2.00,2.04,2.00,2.02,157620960.00,
2016-11-29,2.02,2.04,2.00,2.00,66711680.00,
