Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,73.00,73.25,72.50,73.25,4629460.00,
2017-02-08,71.50,72.75,71.50,72.75,3258730.00,
2017-02-07,72.00,72.50,71.50,71.75,1865550.00,
2017-02-06,72.00,72.50,72.00,72.25,2340100.00,
2017-02-03,71.25,72.00,71.00,72.00,2740010.00,
2017-02-02,72.25,72.50,71.00,71.00,3839430.00,
2017-02-01,71.25,71.75,71.00,71.75,3192470.00,
2017-01-31,72.25,72.75,71.25,71.75,3929670.00,
2017-01-30,72.50,72.75,72.25,72.50,1034950.00,
2017-01-27,72.50,73.00,72.25,72.50,2294640.00,
2017-01-26,72.75,72.75,72.00,72.25,1458830.00,
2017-01-25,71.75,72.50,71.25,72.25,3729910.00,
2017-01-24,72.00,72.50,71.50,71.50,4499470.00,
2017-01-23,71.50,72.00,71.50,72.00,3078310.00,
2017-01-20,70.50,71.75,70.25,71.25,5609880.00,
2017-01-19,69.75,70.50,69.50,70.00,4152760.00,
2017-01-18,70.25,70.75,69.75,70.00,4231120.00,
2017-01-17,70.50,71.00,69.75,70.00,3839680.00,
2017-01-16,70.25,71.00,70.00,70.25,3043630.00,
2017-01-13,70.00,70.75,69.75,70.25,5684740.00,
2017-01-12,69.25,70.25,69.25,69.50,4888020.00,
2017-01-11,69.25,70.25,68.75,68.75,7084430.00,
2017-01-10,69.25,70.00,69.00,69.00,6504960.00,
2017-01-09,69.75,70.00,69.25,69.25,6074320.00,
2017-01-06,71.75,72.00,70.00,70.25,11732350.00,
2017-01-05,72.25,72.75,71.50,71.75,8185810.00,
2017-01-04,72.75,73.50,72.25,73.00,6241820.00,
2016-12-30,72.50,72.75,72.00,72.25,1989030.00,
2016-12-29,71.00,72.50,70.75,72.25,4554010.00,
2016-12-28,70.50,71.50,70.50,71.00,2893130.00,
2016-12-27,71.50,71.75,70.50,70.50,3562300.00,
2016-12-26,71.50,72.25,71.00,71.25,1459810.00,
2016-12-23,71.00,72.25,70.75,71.75,2842350.00,
2016-12-22,71.50,72.25,70.75,71.00,3775270.00,
2016-12-21,72.25,72.75,71.75,71.75,2373120.00,
2016-12-20,72.25,73.00,72.00,72.25,3156930.00,
2016-12-19,73.00,73.00,72.25,72.25,2226330.00,
2016-12-16,71.75,73.00,71.50,73.00,4755930.00,
2016-12-15,71.75,72.00,71.25,71.75,2498580.00,
2016-12-14,72.50,73.25,71.50,71.50,6744070.00,
2016-12-13,73.00,73.25,72.00,72.25,5210130.00,
2016-12-09,72.50,73.00,72.00,72.50,2652400.00,
2016-12-08,73.00,73.25,72.25,72.50,3303310.00,
2016-12-07,72.50,73.00,72.50,73.00,2882320.00,
2016-12-06,71.50,73.75,71.50,72.75,9298710.00,
2016-12-02,72.50,72.75,71.00,71.25,7548260.00,
2016-12-01,74.25,74.75,72.50,73.00,7077510.00,
2016-11-30,71.75,74.00,71.00,74.00,6083160.00,
2016-11-29,72.25,73.00,72.00,72.00,2363010.00,
2016-11-28,72.75,72.75,71.75,72.00,893020.00,
2016-11-25,73.00,73.00,72.50,73.00,846680.00,
2016-11-24,73.00,73.50,72.25,72.75,1975160.00,
2016-11-23,71.50,73.00,71.50,73.00,2724880.00,
2016-11-22,71.00,72.50,71.00,71.75,3677510.00,
2016-11-21,70.75,71.50,69.50,71.00,4787330.00,
2016-11-18,71.50,71.75,70.75,71.25,2454640.00,
2016-11-17,71.00,71.75,70.50,71.50,4064710.00,
2016-11-16,72.00,72.50,70.75,70.75,7116140.00,
2016-11-15,71.75,73.00,71.50,72.00,4294950.00,
2016-11-14,73.00,73.25,71.50,71.50,3779110.00,
