Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,2.48,2.60,2.46,2.58,289722840.00,
2017-03-02,2.44,2.50,2.42,2.48,66061970.00,
2017-03-01,2.44,2.44,2.40,2.44,32124990.00,
2017-02-28,2.44,2.46,2.42,2.42,32476200.00,
2017-02-27,2.48,2.48,2.42,2.44,68406610.00,
2017-02-24,2.44,2.50,2.44,2.48,162763430.00,
2017-02-23,2.42,2.46,2.40,2.44,87111410.00,
2017-02-22,2.40,2.42,2.38,2.40,40332510.00,
2017-02-21,2.40,2.42,2.40,2.40,16828620.00,
2017-02-20,2.40,2.42,2.38,2.40,15445970.00,
2017-02-17,2.40,2.42,2.38,2.40,42885410.00,
2017-02-16,2.42,2.42,2.40,2.40,37421040.00,
2017-02-15,2.42,2.42,2.40,2.42,49617650.00,
2017-02-14,2.44,2.44,2.40,2.40,22739370.00,
2017-02-10,2.42,2.44,2.40,2.42,21730440.00,
2017-02-09,2.42,2.42,2.40,2.42,25764350.00,
2017-02-08,2.40,2.44,2.40,2.40,73391000.00,
2017-02-07,2.36,2.44,2.36,2.40,90495480.00,
2017-02-06,2.34,2.38,2.34,2.36,12602650.00,
2017-02-03,2.36,2.38,2.34,2.34,14783430.00,
2017-02-02,2.36,2.38,2.34,2.36,32541360.00,
2017-02-01,2.38,2.40,2.34,2.36,76905610.00,
2017-01-31,2.38,2.42,2.36,2.38,80979440.00,
2017-01-30,2.38,2.40,2.38,2.38,85089220.00,
2017-01-27,2.42,2.44,2.38,2.42,177925910.00,
2017-01-26,2.38,2.42,2.32,2.40,519001350.00,
2017-01-25,2.48,2.50,2.34,2.36,1285243820.00,
2017-01-24,2.78,2.78,2.42,2.44,1696515490.00,
2017-01-23,2.76,2.82,2.76,2.76,168651920.00,
2017-01-20,2.70,2.78,2.68,2.74,200284200.00,
2017-01-19,2.72,2.74,2.66,2.70,163155170.00,
2017-01-18,2.64,2.76,2.64,2.74,352702590.00,
2017-01-17,2.64,2.68,2.62,2.64,31759030.00,
2017-01-16,2.64,2.66,2.62,2.64,37730220.00,
2017-01-13,2.66,2.68,2.62,2.62,47709890.00,
2017-01-12,2.64,2.70,2.60,2.66,82908780.00,
2017-01-11,2.68,2.68,2.62,2.62,72840340.00,
2017-01-10,2.62,2.68,2.62,2.68,43153310.00,
2017-01-09,2.72,2.72,2.60,2.64,127632120.00,
2017-01-06,2.68,2.72,2.64,2.70,122789830.00,
2017-01-05,2.60,2.70,2.58,2.70,248743160.00,
2017-01-04,2.50,2.60,2.48,2.58,215262370.00,
2016-12-30,2.50,2.50,2.46,2.46,44574810.00,
2016-12-29,2.50,2.52,2.46,2.48,30929410.00,
2016-12-28,2.52,2.54,2.50,2.50,63567930.00,
2016-12-27,2.48,2.52,2.46,2.52,86883990.00,
2016-12-26,2.42,2.50,2.42,2.48,66649270.00,
2016-12-23,2.40,2.42,2.36,2.40,46823040.00,
2016-12-22,2.40,2.42,2.38,2.40,22198240.00,
2016-12-21,2.42,2.42,2.38,2.40,43496390.00,
2016-12-20,2.46,2.48,2.38,2.40,91655800.00,
2016-12-19,2.50,2.50,2.44,2.46,60666920.00,
2016-12-16,2.54,2.56,2.48,2.50,79786210.00,
2016-12-15,2.48,2.58,2.46,2.50,202164450.00,
2016-12-14,2.48,2.52,2.46,2.50,226444890.00,
2016-12-13,2.34,2.50,2.34,2.50,384597530.00,
2016-12-09,2.34,2.36,2.32,2.34,98951560.00,
2016-12-08,2.30,2.38,2.30,2.32,184342060.00,
2016-12-07,2.32,2.32,2.30,2.30,21065730.00,
2016-12-06,2.28,2.32,2.28,2.32,40519220.00,
2016-12-02,2.30,2.30,2.26,2.28,62177240.00,
2016-12-01,2.32,2.32,2.28,2.30,81284620.00,
2016-11-30,2.30,2.32,2.28,2.32,94976370.00,
2016-11-29,2.28,2.32,2.28,2.30,198740100.00,
2016-11-28,2.28,2.30,2.26,2.26,76983110.00,
2016-11-25,2.32,2.32,2.28,2.30,169690200.00,
2016-11-24,2.24,2.34,2.24,2.30,685552570.00,
2016-11-23,2.20,2.24,2.20,2.24,32209710.00,
2016-11-22,2.22,2.24,2.20,2.20,18607430.00,
2016-11-21,2.20,2.24,2.20,2.22,18814920.00,
2016-11-18,2.20,2.22,2.20,2.20,26195570.00,
2016-11-17,2.20,2.22,2.20,2.20,21957120.00,
2016-11-16,2.20,2.24,2.20,2.20,30132300.00,
2016-11-15,2.20,2.22,2.20,2.20,42667530.00,
2016-11-14,2.20,2.22,2.18,2.20,82108700.00,
2016-11-11,2.22,2.26,2.22,2.22,78852940.00,
2016-11-10,2.24,2.26,2.22,2.22,85759660.00,
2016-11-09,2.20,2.24,2.18,2.24,173379600.00,
2016-11-08,2.24,2.24,2.20,2.20,28840520.00,
2016-11-07,2.22,2.24,2.20,2.24,67784990.00,
2016-11-04,2.22,2.22,2.18,2.20,47407200.00,
2016-11-03,2.22,2.24,2.20,2.22,67299770.00,
2016-11-02,2.24,2.24,2.20,2.22,60474950.00,
2016-11-01,2.22,2.26,2.20,2.24,119254840.00,
2016-10-31,2.20,2.22,2.18,2.20,34719400.00,
2016-10-28,2.22,2.22,2.18,2.20,25077520.00,
2016-10-27,2.20,2.22,2.18,2.20,104618100.00,
2016-10-26,2.24,2.26,2.18,2.22,168257060.00,
2016-10-25,2.26,2.28,2.22,2.24,119214410.00,
2016-10-21,2.24,2.28,2.22,2.26,206220230.00,
2016-10-20,2.24,2.26,2.22,2.22,68848350.00,
2016-10-19,2.20,2.26,2.18,2.22,240430780.00,
2016-10-18,2.22,2.24,2.18,2.20,241156030.00,
2016-10-17,2.28,2.28,2.16,2.20,501138510.00,
2016-10-14,2.28,2.32,2.22,2.30,171341400.00,
2016-10-13,2.14,2.18,2.04,2.18,170343860.00,
2016-10-12,2.22,2.24,2.00,2.20,422915810.00,
2016-10-11,2.42,2.42,2.26,2.30,252818230.00,
2016-10-10,2.34,2.42,2.32,2.40,354615460.00,
2016-10-07,2.52,2.52,2.44,2.50,203845960.00,
2016-10-06,2.42,2.54,2.42,2.52,438072340.00,
2016-10-05,2.44,2.44,2.40,2.42,87616520.00,
2016-10-04,2.42,2.46,2.40,2.44,116751680.00,
2016-10-03,2.46,2.50,2.38,2.42,555595220.00,
2016-09-30,2.44,2.44,2.38,2.42,200166660.00,
2016-09-29,2.40,2.46,2.36,2.46,305857790.00,
2016-09-28,2.40,2.40,2.36,2.38,95071620.00,
2016-09-27,2.42,2.44,2.40,2.40,156375490.00,
2016-09-26,2.36,2.42,2.34,2.40,163626620.00,
2016-09-23,2.40,2.40,2.34,2.36,205213170.00,
2016-09-22,2.38,2.42,2.38,2.42,325679650.00,
2016-09-21,2.26,2.38,2.26,2.36,545236870.00,
2016-09-20,2.18,2.26,2.16,2.24,177443590.00,
2016-09-19,2.22,2.22,2.18,2.18,123285950.00,
2016-09-16,2.16,2.20,2.16,2.20,150722610.00,
2016-09-15,2.10,2.18,2.08,2.16,142397150.00,
2016-09-14,2.06,2.12,2.06,2.10,104172020.00,
2016-09-13,2.08,2.10,2.04,2.08,96406060.00,
2016-09-12,2.00,2.06,2.00,2.04,91142420.00,
2016-09-09,2.10,2.12,2.02,2.06,131869810.00,
