Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,6.45,6.50,6.30,6.30,111950640.00,
2017-02-08,6.20,6.50,6.15,6.40,396879400.00,
2017-02-07,6.25,6.25,6.15,6.20,119645260.00,
2017-02-06,6.45,6.45,6.20,6.25,202777660.00,
2017-02-03,6.45,6.50,6.35,6.40,80170250.00,
2017-02-02,6.50,6.50,6.40,6.40,76095630.00,
2017-02-01,6.55,6.55,6.45,6.50,191801130.00,
2017-01-31,6.65,6.65,6.55,6.55,85000580.00,
2017-01-30,6.70,6.70,6.60,6.65,47460860.00,
2017-01-27,6.65,6.75,6.60,6.65,88927960.00,
2017-01-26,6.70,6.80,6.60,6.65,169998340.00,
2017-01-25,6.75,6.75,6.60,6.60,123646610.00,
2017-01-24,6.85,6.85,6.70,6.70,128178980.00,
2017-01-23,6.90,6.90,6.75,6.80,93940210.00,
2017-01-20,6.90,6.95,6.85,6.85,774035650.00,
2017-01-19,6.80,6.95,6.75,6.90,110998960.00,
2017-01-18,6.85,6.95,6.80,6.80,155922680.00,
2017-01-17,7.10,7.20,6.80,6.85,502089260.00,
2017-01-16,7.10,7.10,7.05,7.10,23766920.00,
2017-01-13,7.15,7.15,7.05,7.10,51198960.00,
2017-01-12,7.15,7.15,7.05,7.10,63643510.00,
2017-01-11,7.10,7.20,7.00,7.10,172488240.00,
2017-01-10,7.15,7.25,7.00,7.10,207779050.00,
2017-01-09,7.20,7.25,7.15,7.20,67171200.00,
2017-01-06,7.35,7.40,7.20,7.20,158520560.00,
2017-01-05,7.40,7.50,7.35,7.35,295616540.00,
2017-01-04,7.10,7.45,7.10,7.35,356420710.00,
2016-12-30,7.10,7.20,7.10,7.15,59353920.00,
2016-12-29,7.00,7.15,7.00,7.10,54733300.00,
2016-12-28,7.05,7.05,6.95,7.00,63939320.00,
2016-12-27,7.00,7.05,6.95,7.05,35328190.00,
2016-12-26,7.00,7.10,7.00,7.00,22087080.00,
2016-12-23,7.00,7.05,6.95,7.00,44995950.00,
2016-12-22,7.00,7.05,6.95,7.00,38677570.00,
2016-12-21,7.05,7.10,7.00,7.00,32911000.00,
2016-12-20,7.15,7.15,7.05,7.05,33306830.00,
2016-12-19,7.15,7.15,7.05,7.10,28229280.00,
2016-12-16,7.15,7.25,7.10,7.10,89023060.00,
2016-12-15,7.10,7.25,7.10,7.15,50556580.00,
2016-12-14,7.25,7.25,7.10,7.15,85087070.00,
2016-12-13,7.05,7.25,7.00,7.25,113533460.00,
2016-12-09,7.15,7.15,7.00,7.00,140741710.00,
2016-12-08,7.15,7.20,7.05,7.10,72247170.00,
2016-12-07,7.05,7.20,6.95,7.10,73286850.00,
2016-12-06,7.05,7.10,6.95,7.00,55664570.00,
2016-12-02,7.20,7.25,7.00,7.05,134531760.00,
2016-12-01,7.20,7.30,7.20,7.20,52053330.00,
2016-11-30,7.25,7.25,7.15,7.15,79783230.00,
2016-11-29,7.30,7.35,7.20,7.25,85003630.00,
2016-11-28,7.25,7.35,7.20,7.25,84694700.00,
2016-11-25,7.20,7.25,7.15,7.25,55037740.00,
2016-11-24,7.25,7.25,7.15,7.15,73943880.00,
2016-11-23,7.25,7.30,7.15,7.25,127640750.00,
2016-11-22,7.35,7.45,7.20,7.25,269782580.00,
2016-11-21,7.15,7.35,7.15,7.30,171145430.00,
2016-11-18,7.15,7.25,7.05,7.15,143427620.00,
2016-11-17,7.40,7.45,7.10,7.15,231743250.00,
2016-11-16,7.10,7.45,7.05,7.35,474516080.00,
2016-11-15,7.15,7.20,7.00,7.10,261957480.00,
2016-11-14,7.15,7.20,7.00,7.05,242962540.00,
2016-11-11,7.55,7.60,7.20,7.25,703848500.00,
2016-11-10,7.75,7.85,7.55,7.60,698945530.00,
2016-11-09,7.35,7.70,7.35,7.60,1496585730.00,
2016-11-08,6.80,7.55,6.75,7.45,960046410.00,
2016-11-07,6.75,6.80,6.70,6.75,51751540.00,
2016-11-04,6.70,6.75,6.60,6.65,71201580.00,
2016-11-03,6.80,6.90,6.70,6.70,92096040.00,
