Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,9.80,9.85,9.70,9.70,8438410.00,
2017-02-08,9.70,9.90,9.65,9.75,8826620.00,
2017-02-07,9.70,9.75,9.65,9.70,4935480.00,
2017-02-06,9.60,9.75,9.60,9.75,4769290.00,
2017-02-03,9.60,9.70,9.55,9.60,8492580.00,
2017-02-02,9.80,9.80,9.65,9.65,12089800.00,
2017-02-01,9.80,9.95,9.75,9.80,8933330.00,
2017-01-31,9.80,10.10,9.75,9.80,24236570.00,
2017-01-30,9.70,9.85,9.70,9.80,7746800.00,
2017-01-27,9.85,9.85,9.65,9.70,26799330.00,
2017-01-26,10.30,10.40,9.90,9.90,32282350.00,
2017-01-25,10.50,10.50,10.20,10.30,26428380.00,
2017-01-24,10.70,10.90,10.50,10.60,28335220.00,
2017-01-23,10.10,10.70,10.10,10.70,66344960.00,
2017-01-20,10.00,10.30,10.00,10.10,32745030.00,
2017-01-19,9.90,10.20,9.85,10.10,32513670.00,
2017-01-18,9.95,10.00,9.70,9.75,15912460.00,
2017-01-17,10.00,10.30,10.00,10.00,49701410.00,
2017-01-16,9.75,9.95,9.70,9.90,21255190.00,
2017-01-13,9.65,9.80,9.55,9.70,10162520.00,
2017-01-12,9.80,9.80,9.60,9.60,12609460.00,
2017-01-11,9.50,9.85,9.50,9.80,24703890.00,
2017-01-10,9.40,9.60,9.35,9.45,8094960.00,
2017-01-09,9.55,9.60,9.40,9.40,9171170.00,
2017-01-06,9.50,9.65,9.40,9.60,16641740.00,
2017-01-05,9.25,9.55,9.20,9.50,21006590.00,
2017-01-04,9.10,9.25,9.05,9.15,3020170.00,
2016-12-30,9.05,9.15,9.05,9.10,1219950.00,
2016-12-29,9.00,9.15,9.00,9.10,1388250.00,
2016-12-28,9.10,9.15,9.00,9.05,1978640.00,
2016-12-27,9.20,9.20,9.05,9.05,2582620.00,
2016-12-26,9.05,9.20,9.00,9.15,5089840.00,
2016-12-23,9.00,9.05,8.95,9.00,1851020.00,
2016-12-22,9.00,9.05,8.90,8.95,2293050.00,
2016-12-21,8.95,9.00,8.90,8.90,3713110.00,
2016-12-20,9.10,9.10,8.90,9.00,5226500.00,
2016-12-19,9.10,9.15,9.05,9.10,2567090.00,
2016-12-16,9.15,9.20,9.05,9.10,4611880.00,
2016-12-15,9.25,9.25,9.15,9.20,3481190.00,
2016-12-14,9.25,9.35,9.20,9.30,2528260.00,
2016-12-13,9.35,9.35,9.20,9.25,8892000.00,
2016-12-09,9.50,9.50,9.30,9.35,8418330.00,
2016-12-08,9.55,9.60,9.45,9.45,4206540.00,
2016-12-07,9.55,9.70,9.45,9.55,15397620.00,
2016-12-06,9.50,9.60,9.40,9.55,13158160.00,
2016-12-02,9.65,9.70,9.45,9.45,14753600.00,
2016-12-01,9.80,9.85,9.55,9.65,24936560.00,
2016-11-30,10.10,10.20,9.70,9.75,56785060.00,
2016-11-29,9.70,10.10,9.65,10.10,51554730.00,
2016-11-28,9.55,9.70,9.55,9.60,7296040.00,
2016-11-25,9.55,9.60,9.50,9.55,4771020.00,
2016-11-24,9.60,9.70,9.45,9.60,8102680.00,
2016-11-23,9.50,9.65,9.45,9.55,9009050.00,
2016-11-22,9.70,9.75,9.50,9.50,10447530.00,
2016-11-21,9.75,9.85,9.65,9.70,15607270.00,
2016-11-18,9.75,9.85,9.50,9.60,32244820.00,
2016-11-17,9.85,9.95,9.60,9.60,46156090.00,
2016-11-16,9.40,9.80,9.35,9.65,57020100.00,
2016-11-15,9.45,9.50,9.20,9.25,17545000.00,
2016-11-14,9.35,9.50,9.30,9.30,20776380.00,
2016-11-11,9.50,9.60,9.20,9.20,22053560.00,
2016-11-10,9.45,9.65,9.25,9.60,27353990.00,
2016-11-09,9.20,9.35,9.05,9.25,17034930.00,
2016-11-08,9.30,9.45,9.20,9.30,15396370.00,
2016-11-07,9.10,9.25,9.10,9.20,5697910.00,
2016-11-04,9.05,9.20,9.00,9.05,6990650.00,
2016-11-03,9.00,9.15,9.00,9.00,3577700.00,
2016-11-02,9.10,9.15,9.00,9.05,5782270.00,
2016-11-01,9.20,9.25,9.10,9.10,5629550.00,
2016-10-31,9.05,9.15,9.00,9.10,6794740.00,
2016-10-28,8.95,9.10,8.85,8.90,4358790.00,
2016-10-27,8.90,8.95,8.80,8.90,3203110.00,
2016-10-26,9.05,9.10,8.90,8.90,3794800.00,
2016-10-25,9.00,9.05,8.95,9.05,1939650.00,
2016-10-21,8.90,9.00,8.90,8.90,4861520.00,
2016-10-20,9.05,9.05,8.85,9.00,4667420.00,
2016-10-19,9.05,9.10,8.95,9.05,3555930.00,
2016-10-18,9.10,9.15,8.85,9.00,5215060.00,
2016-10-17,8.80,9.10,8.75,9.05,5035440.00,
2016-10-14,8.40,8.90,8.40,8.90,10517110.00,
2016-10-13,8.05,8.25,7.70,8.20,15131960.00,
2016-10-12,8.85,8.90,6.50,8.20,16144300.00,
2016-10-11,9.15,9.15,8.70,8.90,7609080.00,
2016-10-10,9.05,9.20,8.90,9.05,18218360.00,
2016-10-07,9.65,9.70,9.45,9.55,15188810.00,
2016-10-06,9.20,9.60,9.20,9.55,21465510.00,
2016-10-05,9.10,9.15,9.05,9.15,3648240.00,
2016-10-04,9.05,9.10,9.00,9.10,2209730.00,
2016-10-03,9.05,9.20,9.00,9.00,4333740.00,
2016-09-30,9.15,9.20,9.05,9.05,4581540.00,
2016-09-29,9.25,9.35,9.25,9.25,2631290.00,
2016-09-28,9.50,9.55,9.20,9.20,16131390.00,
2016-09-27,9.65,9.70,9.50,9.60,8031250.00,
2016-09-26,9.45,9.90,9.40,9.70,28999500.00,
2016-09-23,9.65,9.65,9.40,9.55,22572130.00,
2016-09-22,9.50,9.60,9.45,9.55,14453770.00,
2016-09-21,9.50,9.65,9.35,9.35,36122070.00,
2016-09-20,9.15,9.50,9.10,9.45,43618520.00,
2016-09-19,9.10,9.15,8.95,9.05,3517510.00,
2016-09-16,8.80,9.00,8.75,9.00,11414920.00,
2016-09-15,8.80,8.80,8.70,8.70,5964660.00,
2016-09-14,8.90,8.90,8.80,8.85,3129320.00,
2016-09-13,8.90,9.00,8.80,8.90,4649480.00,
2016-09-12,8.80,9.00,8.80,8.80,6045530.00,
2016-09-09,8.80,9.00,8.70,8.90,8733430.00,
