Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,19.30,19.30,19.00,19.10,935000.00,
2017-03-02,19.20,19.30,19.10,19.30,1072700.00,
2017-03-01,19.20,19.30,19.00,19.20,1286000.00,
2017-02-28,19.30,19.40,19.20,19.30,758600.00,
2017-02-27,19.30,19.30,19.20,19.30,529500.00,
2017-02-24,19.30,19.50,19.30,19.40,525800.00,
2017-02-23,19.40,19.40,19.20,19.30,728000.00,
2017-02-22,19.50,19.50,19.30,19.50,484110.00,
2017-02-21,19.70,19.70,19.40,19.50,1091870.00,
2017-02-20,19.70,19.80,19.50,19.70,672700.00,
2017-02-17,19.70,19.80,19.50,19.80,696820.00,
2017-02-16,19.70,19.90,19.50,19.70,1308800.00,
2017-02-15,19.70,19.80,19.50,19.80,980300.00,
2017-02-14,19.80,19.80,19.50,19.70,828720.00,
2017-02-10,19.70,19.80,19.60,19.70,1362600.00,
2017-02-09,19.70,19.80,19.60,19.80,644820.00,
2017-02-08,19.90,19.90,19.50,19.70,2887230.00,
2017-02-07,20.30,20.30,19.90,20.00,1229700.00,
2017-02-06,20.40,20.50,20.10,20.20,712500.00,
2017-02-03,20.20,20.40,20.20,20.30,1666000.00,
2017-02-02,20.00,20.40,19.80,20.30,3142600.00,
2017-02-01,20.00,20.10,19.80,19.80,1238510.00,
2017-01-31,20.10,20.10,19.80,20.00,1443600.00,
2017-01-30,19.90,20.20,19.90,20.00,1513510.00,
2017-01-27,20.00,20.10,19.90,20.00,1827100.00,
2017-01-26,20.20,20.40,19.90,20.10,2663480.00,
2017-01-25,20.80,20.80,20.20,20.20,4509710.00,
2017-01-24,20.80,20.90,20.70,20.70,1350800.00,
2017-01-23,20.90,20.90,20.70,20.70,1530000.00,
2017-01-20,20.70,20.80,20.60,20.80,2455000.00,
2017-01-19,20.80,20.90,20.60,20.70,2136600.00,
2017-01-18,20.90,21.10,20.80,20.80,4607320.00,
2017-01-17,20.70,21.10,20.70,20.80,4039610.00,
2017-01-16,21.00,21.00,20.70,20.70,2954410.00,
2017-01-13,21.50,21.50,20.90,21.00,7441300.00,
2017-01-12,20.80,21.40,20.70,21.30,11172310.00,
2017-01-11,20.60,21.20,20.50,20.60,7317500.00,
2017-01-10,20.60,20.70,20.50,20.60,2609450.00,
2017-01-09,21.00,21.30,20.40,20.60,12624210.00,
2017-01-06,20.60,20.90,20.60,20.70,10826400.00,
2017-01-05,20.50,20.90,20.40,20.40,10671800.00,
2017-01-04,19.60,20.50,19.50,20.30,9699100.00,
2016-12-30,19.50,19.90,19.40,19.50,2895000.00,
2016-12-29,19.80,19.80,19.40,19.40,2191300.00,
2016-12-28,19.80,19.90,19.60,19.70,2437580.00,
2016-12-27,19.50,20.30,19.30,19.70,10996300.00,
2016-12-26,19.30,19.50,19.10,19.50,3371400.00,
2016-12-23,19.10,19.50,19.00,19.20,3339910.00,
2016-12-22,19.10,19.30,18.90,19.00,2779110.00,
2016-12-21,19.70,19.70,18.70,19.00,7377500.00,
2016-12-20,20.40,20.40,19.40,19.60,4868000.00,
2016-12-19,20.40,20.50,20.20,20.20,626500.00,
2016-12-16,20.50,20.50,20.10,20.40,1866500.00,
2016-12-15,20.60,21.00,20.30,20.40,21245250.00,
2016-12-14,21.00,21.10,20.70,20.70,871700.00,
2016-12-13,21.10,21.10,20.70,20.90,715200.00,
2016-12-09,21.30,21.40,21.00,21.10,1653300.00,
2016-12-08,21.00,21.30,20.80,21.20,1707300.00,
2016-12-07,20.70,20.90,20.50,20.90,1302200.00,
2016-12-06,20.60,20.80,20.40,20.80,508300.00,
2016-12-02,21.00,21.10,20.30,20.50,1504600.00,
2016-12-01,21.20,21.50,20.80,20.80,3001300.00,
2016-11-30,21.20,21.20,20.80,21.00,1404200.00,
2016-11-29,21.30,21.60,21.00,21.20,4672820.00,
2016-11-28,20.50,21.20,20.50,21.20,7591500.00,
2016-11-25,20.30,20.50,20.10,20.30,1622700.00,
2016-11-24,20.50,20.50,20.10,20.20,1628300.00,
2016-11-23,20.40,20.60,20.20,20.40,830400.00,
2016-11-22,20.60,20.70,20.20,20.40,1875500.00,
2016-11-21,20.00,20.80,19.80,20.50,3018400.00,
2016-11-18,20.00,20.00,19.60,19.90,2462050.00,
2016-11-17,20.30,20.60,20.00,20.00,4517500.00,
2016-11-16,20.10,20.30,19.80,20.10,3717710.00,
2016-11-15,20.50,20.50,19.50,19.80,5562800.00,
2016-11-14,20.70,20.90,20.10,20.20,3173500.00,
2016-11-11,21.80,21.80,20.80,20.80,5709200.00,
2016-11-10,22.20,22.20,21.70,21.80,4260900.00,
2016-11-09,21.70,22.00,21.50,21.80,5218900.00,
2016-11-08,22.50,22.50,21.80,21.90,5857400.00,
2016-11-07,22.30,22.60,22.20,22.50,3679130.00,
2016-11-04,22.50,22.60,22.00,22.00,4668520.00,
2016-11-03,22.70,23.20,22.40,22.40,11800010.00,
2016-11-02,22.10,22.90,22.00,22.60,17313520.00,
2016-11-01,22.40,22.50,21.90,22.00,6431000.00,
2016-10-31,22.80,23.20,22.00,22.20,9765310.00,
2016-10-28,22.80,23.30,22.20,22.80,10257000.00,
2016-10-27,23.30,23.50,22.40,22.80,6086320.00,
2016-10-26,23.60,24.00,22.90,23.20,5807880.00,
2016-10-25,22.10,23.60,22.00,23.60,16362870.00,
2016-10-21,21.80,22.10,21.60,22.10,6076080.00,
2016-10-20,21.50,21.80,21.30,21.80,4013800.00,
2016-10-19,21.00,21.50,21.00,21.30,7210120.00,
2016-10-18,20.80,20.90,20.50,20.80,2650820.00,
2016-10-17,19.60,20.70,19.60,20.70,5503130.00,
2016-10-14,18.70,20.00,18.60,19.90,11576320.00,
2016-10-13,18.30,18.40,17.10,18.10,8292700.00,
2016-10-12,19.60,19.70,17.50,18.40,10575300.00,
2016-10-11,20.20,20.20,19.50,19.80,2506690.00,
2016-10-10,19.80,20.20,19.70,19.90,8076900.00,
2016-10-07,21.30,21.70,21.20,21.30,6058550.00,
2016-10-06,21.30,21.50,21.00,21.30,3728120.00,
2016-10-05,21.10,21.30,20.90,21.10,2198320.00,
2016-10-04,20.40,21.20,20.30,21.10,6117360.00,
2016-10-03,20.60,20.80,20.30,20.30,1040260.00,
2016-09-30,20.80,20.90,20.40,20.50,2366400.00,
2016-09-29,20.90,21.10,20.80,21.00,1626410.00,
2016-09-28,21.20,21.20,20.60,20.60,4083200.00,
2016-09-27,21.40,21.50,21.10,21.20,1989690.00,
2016-09-26,21.10,21.50,21.10,21.30,1307700.00,
2016-09-23,21.70,21.70,21.10,21.30,4459100.00,
2016-09-22,21.70,22.00,21.60,21.80,6685550.00,
2016-09-21,21.50,21.80,21.30,21.50,5072210.00,
2016-09-20,21.70,21.70,21.00,21.10,5730410.00,
2016-09-19,21.50,22.30,21.40,21.90,11351460.00,
2016-09-16,21.50,21.60,21.10,21.30,3410010.00,
2016-09-15,21.30,21.80,21.00,21.50,9098240.00,
2016-09-14,20.10,21.50,20.10,21.30,20633400.00,
2016-09-13,19.90,20.30,19.60,20.00,9294360.00,
2016-09-12,19.70,20.10,19.40,19.40,9534460.00,
