Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,11.00,11.00,10.90,11.00,3379800.00,
2017-02-08,10.90,11.00,10.70,11.00,11143640.00,
2017-02-07,10.60,10.90,10.50,10.90,9774110.00,
2017-02-06,10.70,10.70,10.60,10.60,2061590.00,
2017-02-03,10.50,10.70,10.50,10.60,3459850.00,
2017-02-02,10.60,10.60,10.50,10.50,9956740.00,
2017-02-01,10.60,10.70,10.50,10.50,8199560.00,
2017-01-31,10.70,10.80,10.60,10.70,5640590.00,
2017-01-30,10.80,10.80,10.70,10.70,1572860.00,
2017-01-27,10.60,10.80,10.50,10.80,6274380.00,
2017-01-26,10.70,10.70,10.60,10.60,3480660.00,
2017-01-25,10.70,10.70,10.60,10.70,1556720.00,
2017-01-24,10.70,10.70,10.60,10.60,2375180.00,
2017-01-23,10.60,10.80,10.50,10.70,4588950.00,
2017-01-20,10.50,10.70,10.50,10.50,902010.00,
2017-01-19,10.60,10.60,10.50,10.60,7529960.00,
2017-01-18,10.60,10.70,10.50,10.50,1425240.00,
2017-01-17,10.60,10.60,10.50,10.60,1548180.00,
2017-01-16,10.70,10.70,10.50,10.60,4846540.00,
2017-01-13,10.70,10.70,10.60,10.70,1032630.00,
2017-01-12,10.70,10.80,10.60,10.60,1214420.00,
2017-01-11,10.70,10.80,10.60,10.70,4667070.00,
2017-01-10,10.60,10.70,10.50,10.70,4474600.00,
2017-01-09,10.60,10.60,10.50,10.50,1284240.00,
2017-01-06,10.60,10.70,10.50,10.50,2779500.00,
2017-01-05,10.60,10.70,10.60,10.70,4076860.00,
2017-01-04,10.70,10.80,10.50,10.50,4397520.00,
2016-12-30,10.60,10.70,10.40,10.70,15755330.00,
2016-12-29,10.50,10.60,10.40,10.60,5486230.00,
2016-12-28,10.50,10.60,10.50,10.50,1875500.00,
2016-12-27,10.60,10.60,10.50,10.50,2661380.00,
2016-12-26,10.50,10.60,10.50,10.50,2093600.00,
2016-12-23,10.50,10.60,10.50,10.60,2032620.00,
2016-12-22,10.60,10.60,10.50,10.50,1320610.00,
2016-12-21,10.60,10.70,10.60,10.60,1807050.00,
2016-12-20,10.60,10.70,10.50,10.70,789960.00,
2016-12-19,10.60,10.70,10.50,10.60,2645820.00,
2016-12-16,10.70,10.80,10.60,10.60,7011130.00,
2016-12-15,10.80,10.90,10.70,10.70,1786560.00,
2016-12-14,10.80,10.90,10.80,10.90,1927100.00,
2016-12-13,10.80,10.90,10.70,10.90,3511980.00,
2016-12-09,10.80,10.90,10.80,10.90,1557600.00,
2016-12-08,10.80,10.90,10.80,10.90,1546690.00,
2016-12-07,10.80,10.90,10.70,10.70,1985890.00,
2016-12-06,10.70,10.90,10.70,10.90,1925310.00,
2016-12-02,10.70,10.80,10.60,10.70,1275420.00,
2016-12-01,10.90,10.90,10.70,10.80,2368200.00,
2016-11-30,10.50,10.80,10.50,10.80,4455660.00,
2016-11-29,10.60,10.70,10.50,10.50,2872500.00,
2016-11-28,10.70,10.70,10.60,10.70,1074110.00,
2016-11-25,10.60,10.60,10.50,10.60,1101710.00,
2016-11-24,10.50,10.60,10.50,10.50,1281110.00,
2016-11-23,10.50,10.60,10.40,10.60,3027180.00,
2016-11-22,10.50,10.60,10.40,10.50,2876300.00,
2016-11-21,10.50,10.60,10.50,10.50,2194970.00,
2016-11-18,10.60,10.60,10.50,10.60,739600.00,
2016-11-17,10.50,10.60,10.50,10.60,910870.00,
2016-11-16,10.50,10.60,10.40,10.50,1325840.00,
2016-11-15,10.50,10.60,10.50,10.50,1994170.00,
2016-11-14,10.60,10.60,10.50,10.50,3616910.00,
2016-11-11,10.60,10.70,10.60,10.60,2205360.00,
2016-11-10,10.80,10.80,10.60,10.60,1865530.00,
2016-11-09,10.70,10.80,10.60,10.70,2694090.00,
2016-11-08,10.80,10.80,10.70,10.80,1081040.00,
