Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,20.50,20.60,20.40,20.50,8205580.00,
2017-03-02,20.60,20.70,20.30,20.50,18087220.00,
2017-03-01,20.50,20.60,20.30,20.50,15689600.00,
2017-02-28,19.90,20.40,19.90,20.30,25816650.00,
2017-02-27,19.80,19.90,19.60,19.90,9806920.00,
2017-02-24,19.70,19.90,19.70,19.80,10660730.00,
2017-02-23,19.60,19.80,19.60,19.70,15320660.00,
2017-02-22,19.60,19.80,19.50,19.70,16775810.00,
2017-02-21,19.70,19.70,19.50,19.60,11704950.00,
2017-02-20,19.70,19.90,19.70,19.80,13859500.00,
2017-02-17,19.80,19.90,19.60,19.70,19404040.00,
2017-02-16,19.80,20.10,19.70,19.90,33028160.00,
2017-02-15,20.10,20.10,19.70,19.80,13211070.00,
2017-02-14,20.30,20.30,19.80,20.00,16078650.00,
2017-02-10,20.20,20.40,20.10,20.30,11960580.00,
2017-02-09,20.30,20.30,20.00,20.20,16615160.00,
2017-02-08,20.30,20.40,20.20,20.30,12779950.00,
2017-02-07,20.50,20.50,20.20,20.40,7878600.00,
2017-02-06,20.60,20.60,20.40,20.50,4290950.00,
2017-02-03,20.40,20.60,20.40,20.60,4713010.00,
2017-02-02,20.50,20.70,20.30,20.40,8064970.00,
2017-02-01,20.70,20.80,20.50,20.50,11890190.00,
2017-01-31,20.90,21.00,20.70,20.80,5166200.00,
2017-01-30,20.90,21.00,20.80,20.90,2158900.00,
2017-01-27,20.80,21.10,20.80,20.90,4931710.00,
2017-01-26,20.70,21.00,20.70,20.80,9033540.00,
2017-01-25,20.70,21.00,20.70,20.70,5469780.00,
2017-01-24,20.80,20.90,20.60,20.70,8188620.00,
2017-01-23,21.10,21.20,20.70,20.80,8609580.00,
2017-01-20,20.90,21.30,20.90,21.00,9595730.00,
2017-01-19,21.00,21.10,20.80,20.90,6115670.00,
2017-01-18,21.30,21.30,20.80,21.20,12725720.00,
2017-01-17,20.80,21.30,20.80,21.30,13051650.00,
2017-01-16,20.60,20.90,20.50,20.80,8582710.00,
2017-01-13,20.80,20.80,20.50,20.60,4988970.00,
2017-01-12,21.00,21.00,20.60,20.70,15548350.00,
2017-01-11,21.20,21.30,20.80,20.90,10106740.00,
2017-01-10,21.00,21.20,20.90,21.20,8338310.00,
2017-01-09,20.80,21.20,20.70,21.00,18708600.00,
2017-01-06,20.90,20.90,20.60,20.70,11498260.00,
2017-01-05,21.10,21.20,20.80,21.00,10585590.00,
2017-01-04,21.10,21.20,20.70,21.10,14331810.00,
2016-12-30,20.90,21.00,20.70,21.00,10442930.00,
2016-12-29,20.80,21.00,20.70,20.90,12779920.00,
2016-12-28,20.70,21.10,20.60,20.80,10686660.00,
2016-12-27,20.50,20.80,20.50,20.70,8101730.00,
2016-12-26,20.50,20.60,20.40,20.60,3482930.00,
2016-12-23,20.40,20.60,20.30,20.50,5181520.00,
2016-12-22,20.40,20.60,20.30,20.40,5185810.00,
2016-12-21,20.60,20.70,20.30,20.30,9317960.00,
2016-12-20,20.70,20.80,20.50,20.70,7125220.00,
2016-12-19,20.30,20.70,20.30,20.70,10630820.00,
2016-12-16,20.40,20.50,20.20,20.30,16693130.00,
2016-12-15,20.10,20.50,20.10,20.20,8947560.00,
2016-12-14,20.40,20.50,20.20,20.20,17411610.00,
2016-12-13,20.50,20.60,20.40,20.40,13542620.00,
2016-12-09,20.60,20.60,20.40,20.60,17778200.00,
2016-12-08,20.60,20.80,20.60,20.80,9611840.00,
2016-12-07,20.60,20.70,20.50,20.50,10734340.00,
2016-12-06,20.50,20.90,20.50,20.70,16043100.00,
2016-12-02,20.40,20.70,20.40,20.60,6585080.00,
2016-12-01,20.70,20.70,20.40,20.40,14327530.00,
2016-11-30,20.50,20.70,20.30,20.70,22173330.00,
2016-11-29,20.70,20.80,20.50,20.50,10005400.00,
2016-11-28,21.00,21.00,20.60,20.70,12541780.00,
2016-11-25,20.60,21.10,20.50,21.00,16020330.00,
2016-11-24,20.80,20.80,20.50,20.60,19503030.00,
2016-11-23,21.20,21.50,20.70,20.80,37691590.00,
2016-11-22,21.60,21.60,21.20,21.40,12425390.00,
2016-11-21,21.60,21.70,21.40,21.70,21498620.00,
2016-11-18,21.10,21.60,21.00,21.50,19943520.00,
2016-11-17,21.20,21.50,21.10,21.30,13063700.00,
2016-11-16,21.50,21.50,21.00,21.30,13786410.00,
2016-11-15,21.70,21.80,20.70,21.40,44533920.00,
2016-11-14,21.80,22.00,21.50,21.80,12966440.00,
2016-11-11,21.90,22.50,21.50,21.80,59609200.00,
2016-11-10,21.90,21.90,21.40,21.80,31254110.00,
2016-11-09,21.90,22.00,21.60,22.00,13238860.00,
2016-11-08,22.10,22.20,21.70,22.20,16104350.00,
2016-11-07,22.10,22.20,21.90,22.10,15621260.00,
2016-11-04,21.70,22.00,21.50,22.00,30849320.00,
