Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,41.00,42.00,40.75,41.50,1424150.00,
2017-02-08,40.00,41.00,40.00,40.25,750300.00,
2017-02-07,40.25,40.50,39.75,39.75,649060.00,
2017-02-06,39.75,40.50,39.75,40.25,424710.00,
2017-02-03,39.75,40.50,39.50,39.75,939880.00,
2017-02-02,41.25,41.25,40.00,40.00,363630.00,
2017-02-01,40.75,41.50,40.75,41.25,645050.00,
2017-01-31,41.75,41.75,39.25,41.00,2140410.00,
2017-01-30,42.00,42.25,41.50,41.50,507200.00,
2017-01-27,40.75,42.00,40.50,42.00,1720960.00,
2017-01-26,40.00,40.75,39.75,40.50,1745450.00,
2017-01-25,40.00,40.00,39.50,39.50,489100.00,
2017-01-24,40.00,40.75,39.75,40.00,855040.00,
2017-01-23,39.25,40.00,39.25,40.00,906030.00,
2017-01-20,39.00,39.75,39.00,39.25,271590.00,
2017-01-19,39.25,40.00,39.00,39.00,932580.00,
2017-01-18,39.00,40.00,39.00,39.75,1129030.00,
2017-01-17,39.75,40.25,38.75,39.00,2305560.00,
2017-01-16,40.50,40.75,39.50,39.75,1315610.00,
2017-01-13,40.75,41.00,39.75,40.50,738560.00,
2017-01-12,40.75,41.00,40.25,40.25,422500.00,
2017-01-11,41.00,41.25,40.50,40.75,365830.00,
2017-01-10,40.75,41.25,40.50,41.00,784200.00,
2017-01-09,40.50,40.75,40.00,40.75,384080.00,
2017-01-06,40.75,41.00,40.50,40.75,654350.00,
2017-01-05,40.50,41.50,40.25,41.25,1715050.00,
2017-01-04,40.50,41.00,39.25,40.25,2241100.00,
2016-12-30,39.50,40.75,39.25,40.50,1743370.00,
2016-12-29,39.25,39.75,39.25,39.50,230700.00,
2016-12-28,39.25,39.75,39.25,39.50,343720.00,
2016-12-27,39.50,39.75,39.25,39.50,135700.00,
2016-12-26,39.00,39.75,39.00,39.50,477710.00,
2016-12-23,39.50,39.75,39.00,39.25,396750.00,
2016-12-22,39.25,40.00,39.25,39.50,599920.00,
2016-12-21,39.25,39.50,39.00,39.50,1004020.00,
2016-12-20,39.00,39.75,39.00,39.25,530810.00,
2016-12-19,40.00,40.50,39.50,39.50,482200.00,
2016-12-16,39.50,40.25,39.50,39.75,1849100.00,
2016-12-15,40.75,40.75,39.00,39.50,2495700.00,
2016-12-14,41.50,41.75,40.50,40.50,1739430.00,
2016-12-13,42.50,42.50,41.25,41.25,1181200.00,
2016-12-09,43.00,43.25,42.00,42.50,1045460.00,
2016-12-08,42.00,43.00,42.00,43.00,1886820.00,
2016-12-07,41.75,41.75,41.25,41.75,722720.00,
2016-12-06,41.00,41.75,40.75,41.25,949200.00,
2016-12-02,40.25,40.50,40.00,40.25,777900.00,
2016-12-01,39.25,41.00,39.25,40.25,2810700.00,
2016-11-30,40.00,40.00,38.75,39.00,2395000.00,
2016-11-29,41.00,41.25,39.75,39.75,1271130.00,
