Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,18.70,18.70,18.40,18.50,6283520.00,
2017-03-02,18.90,19.00,18.70,18.80,5293400.00,
2017-03-01,18.40,18.80,18.40,18.70,5859700.00,
2017-02-28,18.50,18.70,18.30,18.40,3947510.00,
2017-02-27,18.50,18.70,18.40,18.50,3889450.00,
2017-02-24,18.70,18.80,18.30,18.50,6463360.00,
2017-02-23,18.90,18.90,18.50,18.60,6511200.00,
2017-02-22,19.00,19.10,18.80,19.00,3064120.00,
2017-02-21,19.00,19.40,18.90,18.90,8289300.00,
2017-02-20,19.00,19.20,19.00,19.00,2156000.00,
2017-02-17,19.10,19.20,18.90,19.10,4614900.00,
2017-02-16,18.90,19.20,18.90,19.00,7946360.00,
2017-02-15,19.10,19.20,18.60,18.80,8289290.00,
2017-02-14,19.20,19.30,19.00,19.10,3933650.00,
2017-02-10,19.30,19.40,19.20,19.30,2737100.00,
2017-02-09,19.20,19.40,19.10,19.10,3112800.00,
2017-02-08,19.30,19.40,19.00,19.20,9179170.00,
2017-02-07,19.70,19.70,19.20,19.30,8818600.00,
2017-02-06,19.80,19.80,19.60,19.70,6280810.00,
2017-02-03,19.70,19.80,19.50,19.70,6683800.00,
2017-02-02,19.60,20.00,19.50,19.70,13063170.00,
2017-02-01,19.50,19.70,19.40,19.50,4334600.00,
2017-01-31,19.70,19.80,19.40,19.40,4730710.00,
2017-01-30,19.40,20.00,19.40,19.70,11419600.00,
2017-01-27,19.30,19.50,19.20,19.40,2298860.00,
2017-01-26,19.30,19.60,19.30,19.30,5205420.00,
2017-01-25,19.40,19.70,19.20,19.30,5169590.00,
2017-01-24,19.40,19.60,19.20,19.40,3681920.00,
2017-01-23,19.40,19.60,19.30,19.40,3222800.00,
2017-01-20,18.90,19.40,18.80,19.30,4581800.00,
2017-01-19,19.30,19.40,18.80,19.00,8555130.00,
2017-01-18,19.30,19.70,19.20,19.30,10448900.00,
2017-01-17,19.40,19.60,19.10,19.20,11678560.00,
2017-01-16,19.70,19.90,19.30,19.40,9781470.00,
2017-01-13,19.80,19.90,19.40,19.60,7876310.00,
2017-01-12,20.00,20.20,19.70,19.80,5671020.00,
2017-01-11,20.00,20.50,19.90,19.90,12347500.00,
2017-01-10,19.90,20.30,19.90,20.00,5088710.00,
2017-01-09,20.30,20.30,19.80,19.90,6921430.00,
2017-01-06,20.40,20.50,20.00,20.20,10493210.00,
2017-01-05,20.40,21.10,20.40,20.40,15948060.00,
2017-01-04,19.90,20.80,19.80,20.50,20748470.00,
2016-12-30,19.90,20.10,19.60,19.80,5028940.00,
2016-12-29,19.90,20.10,19.80,19.90,2741600.00,
2016-12-28,19.50,19.90,19.50,19.90,4508620.00,
2016-12-27,19.90,20.00,19.30,19.40,8124560.00,
2016-12-26,20.00,20.30,19.80,19.90,5462180.00,
2016-12-23,19.30,20.10,19.30,20.00,9857240.00,
2016-12-22,19.50,19.80,19.20,19.30,4742450.00,
2016-12-21,19.50,19.60,19.00,19.50,7130420.00,
2016-12-20,20.40,20.40,19.00,19.40,22749880.00,
2016-12-19,19.80,20.70,19.80,20.30,15417910.00,
2016-12-16,20.00,20.00,19.70,19.70,9556470.00,
2016-12-15,19.00,20.00,19.00,19.80,22757890.00,
2016-12-14,19.20,19.40,18.70,19.20,22864540.00,
2016-12-13,18.70,19.20,18.70,19.00,24850880.00,
2016-12-09,18.60,18.60,18.10,18.40,25164840.00,
2016-12-08,17.90,18.50,17.80,18.50,19365250.00,
2016-12-07,17.70,17.80,17.60,17.70,2520600.00,
2016-12-06,17.40,17.70,17.40,17.70,1206800.00,
2016-12-02,17.60,17.70,17.40,17.50,3031750.00,
2016-12-01,17.90,18.00,17.40,17.50,8808470.00,
2016-11-30,17.30,17.90,17.20,17.80,9523300.00,
2016-11-29,17.60,17.60,17.20,17.30,7020530.00,
2016-11-28,17.40,17.60,17.30,17.40,5364540.00,
