Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,5.35,5.40,5.25,5.30,5610780.00,
2017-02-08,5.35,5.40,5.30,5.35,2164460.00,
2017-02-07,5.45,5.45,5.30,5.35,14602680.00,
2017-02-06,5.30,5.50,5.25,5.50,39236740.00,
2017-02-03,5.20,5.25,5.15,5.25,5827620.00,
2017-02-02,5.35,5.40,5.10,5.20,17549930.00,
2017-02-01,5.30,5.40,5.30,5.40,4821870.00,
2017-01-31,5.35,5.40,5.30,5.30,4498430.00,
2017-01-30,5.40,5.45,5.30,5.35,8016750.00,
2017-01-27,5.35,5.50,5.30,5.45,8523710.00,
2017-01-26,5.50,5.60,5.25,5.35,33894000.00,
2017-01-25,5.95,6.10,5.45,5.50,57893960.00,
2017-01-24,5.50,5.85,5.45,5.80,47679270.00,
2017-01-23,5.50,5.65,5.40,5.50,15168930.00,
2017-01-20,5.20,5.50,5.20,5.50,15958670.00,
2017-01-19,5.45,5.45,5.25,5.25,4154060.00,
2017-01-18,5.45,5.50,5.30,5.40,3327710.00,
2017-01-17,5.40,5.60,5.40,5.40,6521380.00,
2017-01-16,5.50,5.50,5.40,5.40,3892240.00,
2017-01-13,5.50,5.60,5.40,5.50,3623380.00,
2017-01-12,5.60,5.65,5.50,5.60,13529070.00,
2017-01-11,5.30,5.55,5.25,5.55,19240520.00,
2017-01-10,5.25,5.35,5.25,5.30,5101010.00,
2017-01-09,5.45,5.50,5.25,5.30,7551290.00,
2017-01-06,5.40,5.55,5.40,5.40,5316010.00,
2017-01-05,5.60,5.60,5.30,5.40,5978590.00,
2017-01-04,5.60,5.70,5.55,5.60,8401940.00,
2016-12-30,5.55,5.65,5.55,5.60,6962420.00,
2016-12-29,5.60,5.60,5.40,5.60,5819400.00,
2016-12-28,5.40,5.60,5.40,5.60,2002400.00,
2016-12-27,5.55,5.55,5.40,5.45,2225310.00,
2016-12-26,5.65,5.70,5.45,5.55,4422980.00,
2016-12-23,5.55,5.65,5.50,5.60,8355660.00,
2016-12-22,5.40,5.70,5.35,5.55,14215190.00,
2016-12-21,5.50,5.55,5.35,5.40,13821750.00,
2016-12-20,5.25,5.40,5.20,5.40,5840050.00,
2016-12-19,5.25,5.30,5.15,5.20,3824800.00,
2016-12-16,5.15,5.25,5.10,5.25,8799430.00,
2016-12-15,5.10,5.15,5.10,5.10,1981180.00,
2016-12-14,5.30,5.30,5.10,5.10,3209940.00,
2016-12-13,5.30,5.35,5.20,5.25,3894260.00,
2016-12-09,5.25,5.40,5.20,5.25,5036120.00,
2016-12-08,5.30,5.40,5.20,5.25,5575180.00,
2016-12-07,5.20,5.40,5.20,5.30,8423590.00,
2016-12-06,5.10,5.20,5.10,5.15,4183090.00,
2016-12-02,5.05,5.15,5.00,5.10,10761830.00,
2016-12-01,5.15,5.15,5.00,5.00,4159760.00,
2016-11-30,5.05,5.25,4.98,5.10,13170940.00,
2016-11-29,5.00,5.05,4.96,5.00,5494890.00,
2016-11-28,5.00,5.00,4.96,5.00,5373300.00,
2016-11-25,5.00,5.10,4.98,4.98,6393330.00,
2016-11-24,5.05,5.10,5.00,5.00,3842340.00,
2016-11-23,5.10,5.15,5.00,5.05,5578370.00,
2016-11-22,5.05,5.10,4.98,5.10,3751360.00,
2016-11-21,5.10,5.10,5.00,5.00,3504180.00,
2016-11-18,5.15,5.20,5.10,5.10,1752120.00,
2016-11-17,5.20,5.25,5.10,5.20,4878660.00,
2016-11-16,5.10,5.35,5.10,5.20,11803060.00,
2016-11-15,5.05,5.10,4.98,5.05,4218090.00,
2016-11-14,5.05,5.05,4.98,5.00,5112870.00,
2016-11-11,5.25,5.30,5.05,5.05,8860600.00,
2016-11-10,5.30,5.40,5.25,5.30,10132590.00,
2016-11-09,5.25,5.30,5.10,5.25,10230300.00,
2016-11-08,5.25,5.35,5.15,5.30,14748140.00,
2016-11-07,5.35,5.35,5.25,5.30,5357640.00,
2016-11-04,5.35,5.40,5.20,5.25,4555300.00,
2016-11-03,5.35,5.40,5.30,5.35,7581610.00,
2016-11-02,5.50,5.50,5.30,5.45,6671270.00,
2016-11-01,5.65,5.75,5.40,5.50,19459800.00,
2016-10-31,5.75,5.75,5.60,5.70,3047200.00,
2016-10-28,5.80,5.80,5.65,5.75,4062940.00,
2016-10-27,5.80,5.80,5.55,5.75,4468380.00,
2016-10-26,5.75,5.75,5.60,5.70,1761410.00,
2016-10-25,5.80,5.80,5.60,5.70,5154640.00,
2016-10-21,5.85,5.85,5.70,5.70,6325840.00,
2016-10-20,5.65,5.90,5.65,5.85,14044520.00,
2016-10-19,5.30,5.70,5.25,5.70,15806920.00,
2016-10-18,5.35,5.40,5.20,5.25,3443020.00,
2016-10-17,5.45,5.45,5.20,5.30,8373870.00,
2016-10-14,4.98,5.45,4.94,5.45,9995520.00,
2016-10-13,4.72,4.98,4.72,4.90,12419000.00,
2016-10-12,5.00,5.05,3.80,4.90,23173360.00,
2016-10-11,5.15,5.20,4.96,5.15,27174920.00,
2016-10-10,5.10,5.25,4.96,5.10,12165640.00,
2016-10-07,5.55,5.60,5.45,5.45,3601530.00,
2016-10-06,5.45,5.60,5.45,5.60,6111360.00,
2016-10-05,5.50,5.50,5.45,5.50,2165200.00,
2016-10-04,5.60,5.60,5.40,5.50,3529770.00,
2016-10-03,5.55,5.60,5.45,5.55,2742430.00,
2016-09-30,5.60,5.70,5.50,5.55,8307200.00,
2016-09-29,5.65,5.80,5.65,5.65,23218370.00,
2016-09-28,5.40,5.65,5.35,5.55,11260360.00,
2016-09-27,5.55,5.55,5.35,5.35,4069850.00,
2016-09-26,5.50,5.60,5.45,5.55,1706390.00,
2016-09-23,5.60,5.65,5.35,5.60,4494820.00,
2016-09-22,5.70,5.75,5.60,5.60,4610020.00,
2016-09-21,5.50,5.70,5.45,5.65,15277910.00,
2016-09-20,5.50,5.55,5.25,5.50,16706600.00,
2016-09-19,5.40,5.55,5.35,5.50,11523140.00,
2016-09-16,5.30,5.40,5.15,5.40,18665520.00,
2016-09-15,5.40,5.40,5.15,5.30,11441240.00,
2016-09-14,5.15,5.40,5.10,5.40,5988000.00,
2016-09-13,5.25,5.25,5.05,5.20,11529350.00,
2016-09-12,5.05,5.25,5.05,5.10,15839220.00,
2016-09-09,5.50,5.50,5.15,5.35,18952300.00,
