Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2.94,3.02,2.94,2.96,21576090.00,
2017-02-08,3.00,3.04,2.94,2.96,57873260.00,
2017-02-07,3.06,3.12,3.02,3.02,45970690.00,
2017-02-06,3.14,3.14,3.06,3.06,27074690.00,
2017-02-03,3.16,3.18,3.10,3.12,33118510.00,
2017-02-02,3.16,3.22,3.14,3.14,69542000.00,
2017-02-01,3.20,3.22,3.14,3.14,51728080.00,
2017-01-31,3.08,3.20,3.04,3.20,90833510.00,
2017-01-30,3.00,3.10,3.00,3.10,52562070.00,
2017-01-27,3.02,3.04,2.94,2.98,22533840.00,
2017-01-26,3.04,3.08,3.00,3.02,24477400.00,
2017-01-25,3.02,3.06,3.00,3.02,29079760.00,
2017-01-24,3.06,3.08,3.02,3.04,21683260.00,
2017-01-23,3.08,3.10,3.04,3.06,62785760.00,
2017-01-20,2.90,3.06,2.88,3.06,129267270.00,
2017-01-19,2.90,2.92,2.88,2.88,5984400.00,
2017-01-18,2.90,2.94,2.90,2.90,10386500.00,
2017-01-17,2.92,2.94,2.90,2.92,13756810.00,
2017-01-16,2.94,2.94,2.90,2.92,2660040.00,
2017-01-13,2.90,2.94,2.90,2.92,2676310.00,
2017-01-12,2.92,2.94,2.90,2.90,8439600.00,
2017-01-11,2.90,2.94,2.90,2.92,9745400.00,
2017-01-10,2.92,2.92,2.88,2.90,5345420.00,
2017-01-09,2.92,2.94,2.88,2.92,8783100.00,
2017-01-06,2.92,2.94,2.90,2.92,6474820.00,
2017-01-05,2.94,2.96,2.90,2.90,17314190.00,
2017-01-04,2.92,2.94,2.90,2.94,6385830.00,
2016-12-30,2.90,2.94,2.90,2.92,10899940.00,
2016-12-29,2.90,2.92,2.90,2.92,4872310.00,
2016-12-28,2.90,2.90,2.88,2.90,1832410.00,
2016-12-27,2.88,2.90,2.86,2.90,4565100.00,
2016-12-26,2.86,2.88,2.86,2.86,4174900.00,
2016-12-23,2.88,2.90,2.84,2.86,2973900.00,
2016-12-22,2.88,2.90,2.86,2.86,1860700.00,
2016-12-21,2.88,2.88,2.84,2.88,5053810.00,
2016-12-20,2.90,2.90,2.86,2.88,2901590.00,
2016-12-19,2.90,2.92,2.88,2.90,6633440.00,
2016-12-16,2.90,2.90,2.86,2.86,7328050.00,
2016-12-15,2.90,2.90,2.86,2.86,3278560.00,
2016-12-14,2.94,2.94,2.88,2.88,7116620.00,
2016-12-13,2.96,2.96,2.90,2.92,5619960.00,
2016-12-09,2.94,2.96,2.90,2.94,13415100.00,
2016-12-08,2.90,2.96,2.88,2.92,26434910.00,
2016-12-07,2.86,2.90,2.84,2.88,12532000.00,
2016-12-06,2.84,2.86,2.82,2.84,2770640.00,
2016-12-02,2.84,2.86,2.82,2.82,3603820.00,
2016-12-01,2.88,2.88,2.82,2.84,6775920.00,
2016-11-30,2.82,2.88,2.82,2.88,18761700.00,
2016-11-29,2.84,2.86,2.82,2.82,6885820.00,
2016-11-28,2.84,2.84,2.82,2.82,5763100.00,
2016-11-25,2.84,2.88,2.82,2.84,16964340.00,
2016-11-24,2.86,2.86,2.82,2.82,6051040.00,
2016-11-23,2.84,2.88,2.82,2.86,11447100.00,
2016-11-22,2.84,2.88,2.82,2.84,10556200.00,
2016-11-21,2.86,2.86,2.82,2.82,2710700.00,
2016-11-18,2.86,2.86,2.80,2.84,5520960.00,
2016-11-17,2.84,2.86,2.82,2.86,3037730.00,
2016-11-16,2.84,2.88,2.82,2.84,9597950.00,
2016-11-15,2.84,2.88,2.80,2.84,23602810.00,
2016-11-14,2.88,2.96,2.84,2.84,22686980.00,
2016-11-11,2.90,2.90,2.86,2.86,7036120.00,
2016-11-10,2.94,2.94,2.90,2.90,5260500.00,
2016-11-09,2.90,2.94,2.84,2.90,12630230.00,
2016-11-08,2.90,2.96,2.88,2.92,14264730.00,
2016-11-07,2.90,2.90,2.88,2.90,2630340.00,
2016-11-04,2.92,2.92,2.86,2.86,5392800.00,
2016-11-03,2.90,2.94,2.88,2.88,9097100.00,
2016-11-02,2.96,2.96,2.88,2.90,16333100.00,
2016-11-01,2.98,2.98,2.94,2.94,8289500.00,
2016-10-31,2.98,3.00,2.94,2.96,27346640.00,
2016-10-28,2.94,3.00,2.90,2.98,64927600.00,
2016-10-27,2.80,2.94,2.80,2.90,50505280.00,
2016-10-26,2.86,2.86,2.80,2.80,4730390.00,
2016-10-25,2.88,2.88,2.82,2.84,4495950.00,
2016-10-21,2.80,2.86,2.74,2.86,13938510.00,
2016-10-20,2.80,2.80,2.76,2.78,4462040.00,
2016-10-19,2.74,2.78,2.72,2.78,5347900.00,
2016-10-18,2.74,2.78,2.74,2.74,6081300.00,
2016-10-17,2.78,2.78,2.72,2.74,4968600.00,
2016-10-14,2.78,2.78,2.68,2.74,29048880.00,
2016-10-13,2.52,2.62,2.48,2.54,31086760.00,
2016-10-12,2.68,2.70,2.50,2.56,44070210.00,
2016-10-11,2.74,2.78,2.68,2.70,13149230.00,
2016-10-10,2.68,2.78,2.68,2.72,29592870.00,
2016-10-07,2.80,2.86,2.78,2.80,20211280.00,
2016-10-06,2.86,2.90,2.80,2.80,71918830.00,
2016-10-05,2.86,2.88,2.84,2.86,5735610.00,
2016-10-04,2.86,2.90,2.84,2.86,16727710.00,
2016-10-03,2.84,2.86,2.82,2.84,2983720.00,
2016-09-30,2.88,2.90,2.82,2.82,27206320.00,
2016-09-29,2.86,2.94,2.84,2.88,39360700.00,
2016-09-28,2.88,2.90,2.84,2.84,9995590.00,
