Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,14.80,14.80,14.60,14.60,540810.00,
2017-03-02,14.80,14.90,14.50,14.60,2290900.00,
2017-03-01,14.40,14.90,14.30,14.80,4739200.00,
2017-02-28,14.20,14.50,14.20,14.30,2075800.00,
2017-02-27,14.40,14.60,14.10,14.10,4023100.00,
2017-02-24,14.70,14.90,14.60,14.60,2936400.00,
2017-02-23,14.80,14.90,14.70,14.80,855200.00,
2017-02-22,15.00,15.00,14.80,14.80,1154000.00,
2017-02-21,15.20,15.30,14.80,14.90,1794270.00,
2017-02-20,15.30,15.60,15.10,15.20,3706900.00,
2017-02-17,15.10,15.30,15.00,15.30,2708600.00,
2017-02-16,15.30,15.50,15.10,15.10,1315300.00,
2017-02-15,15.30,15.50,14.90,15.30,2986430.00,
2017-02-14,15.20,15.40,15.10,15.10,833800.00,
2017-02-10,15.30,15.60,15.10,15.20,5648200.00,
2017-02-09,14.80,15.40,14.70,15.20,7595010.00,
2017-02-08,14.60,14.80,14.50,14.80,2281500.00,
2017-02-07,15.00,15.10,14.60,14.70,2236200.00,
2017-02-06,15.10,15.10,14.90,15.00,1027400.00,
2017-02-03,15.00,15.20,14.90,15.10,933410.00,
2017-02-02,15.20,15.30,15.00,15.00,1033500.00,
2017-02-01,14.90,15.30,14.80,15.10,4518110.00,
2017-01-31,15.30,15.30,15.00,15.10,2302010.00,
2017-01-30,15.50,15.60,15.30,15.30,1815500.00,
2017-01-27,15.50,15.60,15.30,15.50,1561500.00,
2017-01-26,15.60,15.70,15.30,15.50,2866120.00,
2017-01-25,15.60,15.70,15.50,15.60,2012720.00,
2017-01-24,15.80,15.80,15.30,15.50,5350630.00,
2017-01-23,15.60,16.00,15.60,15.70,8011300.00,
2017-01-20,15.40,15.60,15.30,15.50,2310320.00,
2017-01-19,15.30,15.40,15.10,15.30,2806130.00,
2017-01-18,15.70,15.70,15.10,15.20,4267610.00,
2017-01-17,15.70,15.90,15.40,15.60,7822940.00,
2017-01-16,15.20,15.70,15.00,15.70,17860720.00,
2017-01-13,14.90,15.10,14.80,15.10,2720700.00,
2017-01-12,15.30,15.30,14.80,14.90,7758940.00,
2017-01-11,14.70,15.20,14.60,15.00,17034450.00,
2017-01-10,14.10,14.60,14.10,14.50,16066780.00,
2017-01-09,14.00,14.20,13.90,14.10,1288700.00,
2017-01-06,14.10,14.20,14.00,14.10,2445700.00,
2017-01-05,14.00,14.20,14.00,14.10,1359900.00,
2017-01-04,14.30,14.30,14.00,14.00,2062400.00,
2016-12-30,14.10,14.30,14.00,14.30,1929200.00,
2016-12-29,14.10,14.10,13.90,14.00,290800.00,
2016-12-28,14.00,14.10,13.90,14.00,828600.00,
2016-12-27,14.00,14.10,13.90,14.00,265200.00,
2016-12-26,13.90,14.40,13.70,14.00,2022300.00,
2016-12-23,13.80,14.00,13.80,13.80,705200.00,
2016-12-22,13.90,14.00,13.80,13.90,589700.00,
2016-12-21,13.80,14.00,13.80,13.90,1103500.00,
2016-12-20,14.00,14.20,13.80,13.80,3149500.00,
2016-12-19,14.40,14.40,14.10,14.10,3342220.00,
2016-12-16,14.50,14.50,14.40,14.40,1909100.00,
2016-12-15,14.60,14.60,14.40,14.40,1538900.00,
2016-12-14,14.70,14.70,14.30,14.60,3014600.00,
2016-12-13,14.60,14.70,14.40,14.60,1382800.00,
2016-12-09,14.60,14.70,14.50,14.50,3276200.00,
2016-12-08,14.70,15.00,14.30,14.50,9535600.00,
2016-12-07,14.20,14.70,14.00,14.60,9572700.00,
2016-12-06,13.90,14.60,13.80,14.10,14077710.00,
2016-12-02,13.70,13.80,13.70,13.70,1135620.00,
2016-12-01,13.90,13.90,13.70,13.70,793800.00,
2016-11-30,13.70,13.90,13.60,13.80,1245780.00,
2016-11-29,13.70,13.90,13.60,13.70,1225900.00,
2016-11-28,14.00,14.00,13.70,13.70,2062510.00,
2016-11-25,14.10,14.10,13.90,13.90,95900.00,
2016-11-24,14.00,14.10,13.80,13.90,778100.00,
2016-11-23,14.10,14.30,13.90,13.90,1672800.00,
2016-11-22,14.00,14.40,13.90,14.20,2457600.00,
2016-11-21,14.00,14.10,13.90,14.00,370500.00,
2016-11-18,14.10,14.20,14.00,14.00,1079700.00,
2016-11-17,14.30,14.40,13.80,14.00,2132600.00,
2016-11-16,13.80,14.30,13.80,14.20,2900120.00,
2016-11-15,13.70,13.90,13.70,13.70,972100.00,
2016-11-14,13.70,14.00,13.60,13.80,1708500.00,
2016-11-11,13.60,13.90,13.50,13.90,5073600.00,
2016-11-10,14.20,14.40,13.90,14.00,2014600.00,
2016-11-09,14.00,14.20,13.80,14.20,2207710.00,
2016-11-08,14.50,14.70,14.00,14.10,5879810.00,
2016-11-07,14.30,14.70,14.20,14.40,4169600.00,
2016-11-04,14.60,14.70,14.10,14.30,3230800.00,
2016-11-03,14.90,15.00,14.60,14.70,2880500.00,
2016-11-02,15.00,15.00,14.70,14.80,2410910.00,
2016-11-01,15.20,15.30,15.00,15.00,3133620.00,
2016-10-31,15.10,15.20,14.90,15.00,1098630.00,
2016-10-28,15.40,15.60,15.00,15.00,4399510.00,
2016-10-27,14.80,15.30,14.80,15.30,8736350.00,
2016-10-26,14.50,15.10,14.50,14.70,11585030.00,
2016-10-25,14.70,14.70,14.50,14.50,1222300.00,
2016-10-21,14.50,14.80,14.30,14.60,5596800.00,
2016-10-20,14.00,14.60,13.90,14.50,7359390.00,
2016-10-19,14.00,14.00,13.70,13.90,1133120.00,
2016-10-18,14.20,14.20,13.80,13.90,1513700.00,
2016-10-17,13.70,14.10,13.50,14.00,2090440.00,
2016-10-14,13.40,13.70,13.20,13.70,3476910.00,
2016-10-13,12.50,13.00,12.00,12.80,4845300.00,
2016-10-12,13.40,13.50,12.00,12.90,4679500.00,
2016-10-11,13.60,13.70,13.20,13.40,2259600.00,
2016-10-10,13.30,13.90,13.30,13.50,3301510.00,
2016-10-07,14.70,14.70,14.20,14.40,3854760.00,
2016-10-06,14.00,14.80,13.90,14.70,11861560.00,
2016-10-05,14.00,14.00,13.70,13.80,1106300.00,
2016-10-04,13.70,14.10,13.50,14.00,2170500.00,
2016-10-03,13.60,13.70,13.50,13.70,490300.00,
2016-09-30,13.30,13.60,13.30,13.50,1198800.00,
2016-09-29,13.50,13.80,13.30,13.60,1898900.00,
2016-09-28,13.70,13.70,13.10,13.20,1451100.00,
2016-09-27,13.70,13.80,13.50,13.50,689500.00,
2016-09-26,13.60,13.70,12.90,13.60,735800.00,
2016-09-23,14.00,14.10,13.60,13.60,1575300.00,
2016-09-22,13.90,14.10,13.60,13.90,1268350.00,
2016-09-21,13.60,13.90,13.60,13.70,1182580.00,
2016-09-20,14.10,14.10,13.50,13.60,1804860.00,
2016-09-19,14.00,14.20,13.80,14.10,1065700.00,
2016-09-16,13.60,14.10,13.60,13.80,2040400.00,
2016-09-15,13.50,13.70,13.40,13.60,632200.00,
2016-09-14,13.40,13.60,13.30,13.50,1412200.00,
2016-09-13,13.00,13.40,13.00,13.40,2323600.00,
2016-09-12,12.80,13.30,12.80,12.80,1403220.00,
2016-09-09,13.00,13.30,12.80,13.10,2562980.00,
