Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,3.18,3.20,3.16,3.18,27250480.00,
2017-02-08,3.18,3.20,3.16,3.18,24813120.00,
2017-02-07,3.18,3.22,3.16,3.18,34224170.00,
2017-02-06,3.20,3.22,3.16,3.18,43324200.00,
2017-02-03,3.16,3.22,3.16,3.20,44415490.00,
2017-02-02,3.20,3.22,3.16,3.16,39955300.00,
2017-02-01,3.20,3.22,3.18,3.18,32831310.00,
2017-01-31,3.14,3.28,3.14,3.20,297265900.00,
2017-01-30,3.16,3.18,3.14,3.14,22786900.00,
2017-01-27,3.16,3.16,3.14,3.14,24183610.00,
2017-01-26,3.20,3.20,3.14,3.16,39342920.00,
2017-01-25,3.20,3.22,3.16,3.18,44171730.00,
2017-01-24,3.20,3.24,3.20,3.20,99347930.00,
2017-01-23,3.16,3.20,3.16,3.18,48577740.00,
2017-01-20,3.14,3.18,3.12,3.14,67338010.00,
2017-01-19,3.20,3.22,3.10,3.12,130801610.00,
2017-01-18,3.22,3.24,3.18,3.20,53264880.00,
2017-01-17,3.24,3.26,3.18,3.20,83648860.00,
2017-01-16,3.26,3.26,3.18,3.24,90585120.00,
2017-01-13,3.18,3.26,3.18,3.24,246959970.00,
2017-01-12,3.10,3.20,3.10,3.16,354645520.00,
2017-01-11,3.08,3.10,3.06,3.06,74301050.00,
2017-01-10,3.10,3.12,3.04,3.04,90063420.00,
2017-01-09,3.02,3.10,3.02,3.08,151709690.00,
2017-01-06,3.02,3.04,3.00,3.02,48678870.00,
2017-01-05,3.00,3.04,2.98,3.02,82795140.00,
2017-01-04,2.96,3.00,2.96,2.98,25413480.00,
2016-12-30,2.98,3.00,2.96,2.96,24757740.00,
2016-12-29,2.96,2.98,2.94,2.96,27237180.00,
2016-12-28,2.96,2.96,2.92,2.94,17999800.00,
2016-12-27,2.96,2.98,2.94,2.94,14733430.00,
2016-12-26,2.92,2.98,2.92,2.96,32450800.00,
2016-12-23,2.94,2.96,2.92,2.92,22621910.00,
2016-12-22,2.94,2.94,2.92,2.94,14900730.00,
2016-12-21,2.96,2.96,2.92,2.94,17394300.00,
2016-12-20,2.98,2.98,2.94,2.94,43697230.00,
2016-12-19,2.98,3.00,2.96,2.96,27957960.00,
2016-12-16,3.02,3.02,2.98,2.98,35568620.00,
2016-12-15,3.00,3.04,2.98,3.00,63264680.00,
2016-12-14,3.02,3.04,2.98,3.00,41107240.00,
2016-12-13,2.96,3.04,2.94,3.02,117596920.00,
2016-12-09,2.94,2.98,2.92,2.94,64981120.00,
2016-12-08,2.92,2.96,2.92,2.92,66200920.00,
2016-12-07,2.96,2.98,2.92,2.94,49707880.00,
2016-12-06,2.98,3.00,2.92,2.96,68592870.00,
